"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
18.05,1.494,16.5,160.8,258.40000000000003,42.400000000000006,4.67,0.0,0.0343,0.1134,5.5464,0.43600000000000005,0.0
16.15,1.53,11.25,151.20000000000002,246.4,40.0,4.52,0.0,0.0448,0.1017,5.5672,0.40880000000000005,0.0
19.95,1.4580000000000002,17.25,169.60000000000002,270.40000000000003,44.800000000000004,4.82,0.0,0.053899999999999997,0.12420000000000002,5.5248,0.4632,0.0
14.25,1.593,16.5,161.60000000000002,259.2,43.2,4.9,0.0,0.0343,0.12150000000000001,6.216,0.43840000000000007,0.0
18.05,1.512,13.5,177.60000000000002,287.2,46.400000000000006,5.0,0.0,0.054599999999999996,0.1296,6.3512,0.48,0.0
17.099999999999998,2.052,15.75,151.20000000000002,245.60000000000002,48.0,8.74,0.0,0.0532,0.1638,3.4424,0.2992,4.5
18.05,1.9440000000000002,11.25,148.0,249.60000000000002,60.800000000000004,8.24,0.0,0.0469,0.1566,3.4512,0.30560000000000004,5.25
18.05,2.2230000000000003,16.5,134.4,275.2,51.2,9.73,0.0,0.0525,0.17370000000000002,3.7544,0.3272,1.5
17.099999999999998,2.2680000000000002,16.5,168.8,271.2,63.2,9.93,0.0,0.055999999999999994,0.1773,3.6744000000000003,0.31920000000000004,0.75
18.05,2.178,16.5,167.20000000000002,280.8,64.8,9.56,0.0,0.0343,0.171,3.7200000000000006,0.3304,1.5
15.2,2.205,16.5,154.4,260.0,56.800000000000004,8.68,0.0,0.0462,0.1719,3.7304000000000004,0.2984,5.25
14.25,2.214,15.75,153.60000000000002,266.40000000000003,56.800000000000004,8.63,0.0,0.0462,0.16920000000000002,3.7192000000000003,0.2856,5.25
16.15,2.178,16.5,153.60000000000002,245.60000000000002,44.800000000000004,8.78,0.0,0.0462,0.1746,3.8184,0.3264,4.5
16.15,2.583,18.75,182.4,243.20000000000002,48.0,10.54,0.0,0.0343,0.1953,4.152,0.3296,1.5
15.2,2.592,13.5,181.60000000000002,312.8,48.0,10.5,0.0,0.0343,0.1917,4.144,0.3144,0.75
18.05,2.529,18.75,180.8,284.8,59.2,10.6,0.0,0.0343,0.17820000000000003,4.248,0.3632,1.5
7.6,2.637,17.25,181.60000000000002,234.4,56.800000000000004,7.82,0.0,0.07769999999999999,0.20700000000000002,2.9056,0.25680000000000003,0.0
7.6,2.718,17.25,187.20000000000002,234.4,58.400000000000006,7.83,0.0,0.053899999999999997,0.2061,2.8896,0.256,0.0
6.6499999999999995,2.2680000000000002,17.25,173.60000000000002,234.4,54.400000000000006,7.81,0.0,0.0784,0.2088,2.9280000000000004,0.25920000000000004,0.0
7.6,2.637,17.25,181.60000000000002,234.4,56.800000000000004,7.83,0.0,0.07769999999999999,0.20700000000000002,2.908,0.2576,0.0
7.6,2.718,17.25,187.20000000000002,234.4,58.400000000000006,7.83,0.0,0.053899999999999997,0.2061,2.8904,0.256,0.0
6.6499999999999995,2.2680000000000002,17.25,173.60000000000002,234.4,54.400000000000006,7.83,0.0,0.0784,0.2088,2.9344,0.25920000000000004,0.0
4.75,2.331,18.75,144.0,284.8,47.2,5.24,0.0,0.054599999999999996,0.2403,4.1496,0.4768,0.0
4.75,2.322,18.75,181.60000000000002,288.8,48.0,5.26,0.0,0.0567,0.20070000000000002,4.0280000000000005,0.4688,0.0
4.75,2.3400000000000003,13.5,178.4,278.40000000000003,46.400000000000006,5.19,0.0,0.05039999999999999,0.3186,4.392,0.3936,0.0
4.75,2.511,19.5,185.60000000000002,288.8,48.0,7.09,0.0,0.0525,0.2646,4.2184,0.4608,0.0
4.75,2.3129999999999997,13.5,178.4,273.6,47.2,6.85,0.0,0.0476,0.24120000000000003,4.132000000000001,0.4536,0.0
4.75,2.907,15.75,199.20000000000002,320.8,49.6,7.58,0.0,0.06089999999999999,0.3096,4.392,0.4744,0.0
5.699999999999999,2.592,17.25,162.4,257.6,61.6,9.05,0.0,0.05109999999999999,0.2628,3.0664000000000002,0.30960000000000004,0.0
5.699999999999999,2.502,17.25,159.20000000000002,253.60000000000002,62.400000000000006,8.77,0.0,0.0343,0.2223,2.9760000000000004,0.3008,0.0
5.699999999999999,2.79,13.5,168.8,266.40000000000003,60.800000000000004,9.61,0.0,0.055299999999999995,0.3438,3.2479999999999998,0.328,0.0
12.35,2.9339999999999997,17.25,161.60000000000002,198.4,58.400000000000006,9.85,0.0,0.062299999999999994,0.2187,2.8728000000000002,0.3304,5.25
11.399999999999999,2.943,17.25,163.20000000000002,250.4,58.400000000000006,9.66,0.0,0.062299999999999994,0.216,2.8600000000000003,0.31600000000000006,5.25
15.2,2.979,17.25,158.4,240.8,58.400000000000006,10.19,0.0,0.062299999999999994,0.2214,2.9448000000000003,0.3648,5.25
13.299999999999999,2.979,17.25,164.0,251.20000000000002,58.400000000000006,10.05,0.0,0.0441,0.2223,2.8936,0.33440000000000003,1.5
11.399999999999999,2.988,17.25,165.60000000000002,254.4,58.400000000000006,9.85,0.0,0.0441,0.2187,2.8800000000000003,0.31920000000000004,0.75
15.2,3.0330000000000004,17.25,161.60000000000002,244.8,59.2,10.4,0.0,0.0441,0.225,2.968,0.3688,1.5
18.05,1.566,17.25,134.4,271.2,44.800000000000004,4.9,0.0,0.0525,0.11970000000000001,5.8904000000000005,0.4632,0.0
17.099999999999998,1.4580000000000002,16.5,160.8,260.8,42.400000000000006,4.79,0.0,0.0483,0.1089,5.976800000000001,0.43920000000000003,0.0
20.9,1.512,13.5,140.8,280.8,46.400000000000006,5.01,0.0,0.0567,0.1314,5.8048,0.4872,0.0
17.099999999999998,1.566,17.25,173.60000000000002,224.0,45.6,5.09,0.0,0.0532,0.12689999999999999,6.3848,0.4792,0.0
14.25,1.6560000000000001,17.25,168.8,270.40000000000003,44.800000000000004,5.11,0.0,0.05179999999999999,0.1278,6.566400000000001,0.4632,0.0
18.05,1.539,13.5,180.8,292.0,47.2,5.09,0.0,0.055999999999999994,0.13319999999999999,6.5367999999999995,0.4944,0.0
35.15,2.169,11.25,155.20000000000002,246.4,73.60000000000001,5.82,0.0,0.030099999999999995,0.1593,4.0272,0.2656,2.25
33.25,2.025,14.25,148.0,176.0,64.8,6.14,0.0,0.035699999999999996,0.15839999999999999,3.6296,0.26880000000000004,2.25
28.5,2.133,11.25,151.20000000000002,231.20000000000002,62.400000000000006,6.19,0.0,0.0343,0.15839999999999999,3.8544,0.2808,2.25
30.4,2.25,11.25,159.20000000000002,257.6,69.60000000000001,5.95,0.0,0.030099999999999995,0.1593,4.2256,0.2752,2.25
22.799999999999997,2.232,11.25,155.20000000000002,243.20000000000002,48.0,6.25,0.0,0.0329,0.15839999999999999,4.0784,0.2928,2.25
24.7,2.331,15.75,164.0,268.0,66.4,6.07,0.0,0.030099999999999995,0.1593,4.424,0.2848,2.25
17.099999999999998,2.3400000000000003,15.75,158.4,254.4,57.6,6.31,0.0,0.0322,0.15839999999999999,4.3024000000000004,0.30560000000000004,2.25
18.05,2.4120000000000004,16.5,168.8,279.2,63.2,6.2,0.0,0.030099999999999995,0.1593,4.6224,0.2936,2.25
12.35,2.439,16.5,161.60000000000002,266.40000000000003,54.400000000000006,6.37,0.0,0.030799999999999998,0.15839999999999999,4.5272,0.31760000000000005,2.25
14.25,2.493,17.25,172.8,290.40000000000003,48.0,6.33,0.0,0.030099999999999995,0.1593,4.8216,0.3032,2.25
8.549999999999999,2.502,16.5,164.0,273.6,52.800000000000004,6.41,0.0,0.030099999999999995,0.15839999999999999,4.6616,0.32480000000000003,2.25
10.45,2.538,13.5,140.8,296.8,57.6,6.4,0.0,0.030099999999999995,0.1593,3.9520000000000004,0.3088,2.25
6.6499999999999995,2.547,16.5,164.8,277.6,41.6,6.43,0.0,0.0294,0.15839999999999999,4.7512,0.3296,2.25
8.549999999999999,2.565,13.5,177.60000000000002,300.8,56.800000000000004,6.45,0.0,0.030099999999999995,0.1593,5.0200000000000005,0.3128,2.25
4.75,2.592,17.25,166.4,282.40000000000003,51.2,6.45,0.0,0.0287,0.15839999999999999,4.840800000000001,0.33440000000000003,2.25
6.6499999999999995,2.601,13.5,179.20000000000002,305.6,55.2,6.5,0.0,0.030099999999999995,0.1593,5.0992,0.3168,2.25
12.35,2.8800000000000003,13.5,203.20000000000002,276.8,44.800000000000004,4.16,0.0,0.042699999999999995,0.35190000000000005,4.4448,0.5448000000000001,4.5
13.299999999999999,2.9160000000000004,13.5,201.60000000000002,277.6,44.800000000000004,4.42,0.0,0.041299999999999996,0.3492,4.3504,0.5528,4.5
12.35,2.727,10.5,206.4,279.2,43.2,3.68,0.0,0.0441,0.3573,4.5856,0.532,4.5
