"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
22.006317,1.2589369,17.953606,204.82042,296.71677,59.970333,2.2489555,0.7122377,0.0554048,0.12074835,7.188991,0.69219714,2.7597914
20.685965,1.4752378,16.405312,189.88441,275.93765,55.43683,3.1638744,0.062334172,0.05860577,0.12164634,6.130118,0.6012888,2.2965925
23.289246,1.3434441,18.567375,205.63234,301.47766,58.696674,3.086657,0.11510082,0.053247012,0.119775854,6.53437,0.6799894,2.2602396
19.017044,1.4351933,18.20248,199.0189,295.02682,58.104343,3.0739346,0.27663025,0.057755068,0.12227448,6.739186,0.6291518,1.9844117
21.912697,1.3023891,21.576927,215.24074,322.15472,59.933727,2.6526804,1.0151917,0.052206337,0.1132831,7.131558,0.6981102,1.4455066
18.597101,1.8373344,19.740862,173.5868,293.12604,75.927536,7.337515,0.081597075,0.057435416,0.18066612,4.1057158,0.4627703,3.112132
18.648705,1.8156348,19.15696,175.03697,292.84326,76.08179,7.290452,0.06882273,0.054068264,0.17517373,4.1315675,0.47695214,3.1258013
18.87363,2.0216985,24.65519,193.42445,330.86264,79.2811,7.337138,0.3623508,0.058232415,0.16181728,4.5738177,0.4925259,2.2935321
18.448685,2.0816154,24.654709,191.41466,329.7658,78.78899,7.430462,0.3350377,0.059882045,0.16507405,4.4847136,0.47838864,2.3577466
19.026316,1.9637011,25.006886,195.58115,335.17813,79.69763,7.042453,0.4879928,0.0559045,0.15654436,4.673842,0.5112591,2.203993
19.48394,1.7946843,19.428509,169.19872,297.4163,72.12082,6.69624,0.14789498,0.060863413,0.18843424,4.0790234,0.47326508,2.9398816
19.415094,1.7831873,19.19983,167.97276,300.18478,71.53674,6.630522,0.14808697,0.061429404,0.18642652,4.0382643,0.4667935,2.966609
19.472313,1.8077438,19.628677,170.33565,290.22745,72.45068,6.622838,0.17051604,0.059674703,0.19231984,4.0789595,0.48503315,2.8153884
