"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
25.0,1.49,21.0,189.0,317.0,52.0,3.58,0.0,0.064,0.1,6.087,0.563,0.0
25.0,1.47,21.0,183.0,313.0,51.0,3.61,0.0,0.055,0.087,6.658,0.556,0.0
24.0,1.51,21.0,194.0,321.0,53.0,3.54,0.0,0.074,0.112,5.516,0.57,0.0
27.0,1.54,22.0,193.0,323.0,54.0,3.92,0.0,0.059,0.104,7.17,0.581,0.0
22.0,1.55,23.0,204.0,344.0,54.0,3.85,0.0,0.072,0.115,6.201,0.602,0.0
17.0,2.08,19.0,186.0,310.0,80.0,7.54,0.0,0.061,0.141,4.323,0.365,4.0
18.0,2.12,19.0,187.0,367.0,82.0,7.66,0.0,0.07,0.155,4.56,0.414,4.0
18.0,2.18,21.0,204.0,357.0,85.0,8.21,0.0,0.065,0.16,4.593,0.403,2.0
17.0,2.18,21.0,201.0,332.0,85.0,8.25,0.0,0.06,0.157,4.593,0.383,2.0
19.0,2.21,21.0,200.0,393.0,86.0,8.29,0.0,0.07,0.17,4.83,0.435,2.0
14.0,2.1,19.0,179.0,329.0,66.0,7.26,0.0,0.074,0.144,4.351,0.362,4.0
14.0,2.1,19.0,179.0,330.0,66.0,7.3,0.0,0.07,0.141,4.34,0.326,4.0
14.0,2.14,20.0,184.0,342.0,68.0,7.36,0.0,0.078,0.143,4.377,0.405,4.0
15.0,2.28,22.0,202.0,371.0,70.0,8.39,0.0,0.075,0.17,4.827,0.392,2.0
15.0,2.27,22.0,201.0,371.0,70.0,8.41,0.0,0.07,0.167,4.803,0.346,2.0
15.0,2.33,23.0,209.0,388.0,73.0,8.54,0.0,0.08,0.17,4.87,0.446,2.0
11.0,2.43,25.0,223.0,343.0,80.0,7.93,0.0,0.08,0.214,3.587,0.413,3.0
11.0,2.5,26.0,229.0,347.0,82.0,8.0,0.0,0.08,0.215,3.513,0.407,3.0
11.0,2.25,24.0,215.0,341.0,76.0,7.85,0.0,0.08,0.217,3.72,0.445,3.0
11.0,2.44,25.0,225.0,346.0,81.0,8.0,0.0,0.08,0.217,3.603,0.416,2.0
11.0,2.51,26.0,230.0,349.0,83.0,8.06,0.0,0.08,0.217,3.527,0.409,2.0
11.0,2.26,24.0,216.0,344.0,76.0,7.93,0.0,0.08,0.22,3.74,0.448,2.0
5.0,1.95,23.0,196.0,327.0,58.0,3.72,0.0,0.087,0.269,4.51,0.503,0.0
5.0,2.01,23.0,200.0,339.0,59.0,3.98,0.0,0.085,0.235,4.58,0.516,0.0
5.0,2.39,25.0,219.0,366.0,60.0,4.38,0.0,0.089,0.269,5.57,0.519,0.0
4.0,2.31,24.0,215.0,355.0,60.0,5.49,0.0,0.079,0.238,5.193,0.656,0.0
4.0,2.14,24.0,212.0,347.0,61.0,5.24,0.0,0.072,0.23,5.13,0.673,0.0
4.0,2.64,25.0,221.0,370.0,58.0,5.99,0.0,0.093,0.253,5.32,0.622,0.0
6.0,2.36,21.0,184.0,309.0,74.0,6.88,0.0,0.099,0.227,3.42,0.37,0.0
5.0,2.23,20.0,178.0,302.0,74.0,6.58,0.0,0.079,0.211,3.38,0.375,0.0
6.0,2.62,23.0,198.0,324.0,75.0,7.47,0.0,0.14,0.258,3.5,0.358,0.0
11.0,2.38,20.0,178.0,315.0,76.0,7.4,0.0,0.08,0.191,3.252,0.399,4.0
11.0,2.37,20.0,177.0,312.0,75.0,7.32,0.0,0.08,0.195,3.316,0.402,4.0
11.0,2.38,20.0,181.0,320.0,76.0,7.51,0.0,0.079,0.183,3.292,0.421,4.0
11.0,2.42,20.0,181.0,321.0,77.0,7.58,0.0,0.08,0.197,3.287,0.405,2.0
12.0,2.4,20.0,180.0,317.0,76.0,7.47,0.0,0.08,0.2,3.347,0.407,2.0
11.0,2.43,20.0,186.0,329.0,77.0,7.76,0.0,0.08,0.19,3.34,0.43,2.0
25.0,1.55,22.0,195.0,328.0,54.0,3.7,0.0,0.066,0.102,6.257,0.579,0.0
27.0,1.55,22.0,193.0,330.0,54.0,3.81,0.0,0.056,0.09,6.842,0.571,0.0
24.0,1.54,22.0,197.0,326.0,54.0,3.6,0.0,0.076,0.115,5.671,0.586,0.0
24.0,1.57,23.0,202.0,340.0,55.0,3.94,0.0,0.066,0.108,6.683,0.604,0.0
28.0,1.62,23.0,204.0,340.0,57.0,4.12,0.0,0.06,0.106,7.353,0.596,0.0
21.0,1.54,22.0,202.0,341.0,53.0,3.83,0.0,0.072,0.115,6.227,0.605,0.0
24.0,1.64,14.0,132.0,218.0,66.0,3.57,0.0,0.044,0.151,3.382,0.278,4.0
24.0,1.64,14.0,132.0,218.0,66.0,3.57,0.0,0.044,0.151,3.382,0.278,4.0
21.0,1.79,15.0,145.0,244.0,66.0,3.87,0.0,0.044,0.151,3.804,0.301,4.0
21.0,1.79,15.0,145.0,244.0,66.0,3.87,0.0,0.044,0.151,3.804,0.301,4.0
18.0,1.94,17.0,158.0,270.0,66.0,4.18,0.0,0.043,0.151,4.227,0.323,4.0
18.0,1.94,17.0,158.0,270.0,66.0,4.18,0.0,0.043,0.151,4.227,0.323,4.0
15.0,2.09,18.0,171.0,295.0,66.0,4.48,0.0,0.042,0.151,4.649,0.346,4.0
