"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
19.0,1.66,22.0,201.0,323.0,53.0,4.67,0.0,0.07,0.126,6.933,0.545,0.0
17.0,1.7,20.0,189.0,308.0,50.0,4.52,0.0,0.064,0.113,6.959,0.511,0.0
21.0,1.62,23.0,212.0,338.0,56.0,4.82,0.0,0.077,0.138,6.906,0.579,0.0
15.0,1.77,22.0,202.0,324.0,54.0,4.9,0.0,0.07,0.135,7.77,0.548,0.0
20.0,1.68,24.0,222.0,359.0,58.0,5.0,0.0,0.078,0.144,7.939,0.6,0.0
18.0,2.28,21.0,189.0,307.0,75.0,8.74,0.0,0.076,0.182,4.303,0.374,6.0
19.0,2.16,20.0,185.0,312.0,76.0,8.24,0.0,0.067,0.174,4.314,0.382,7.0
19.0,2.47,22.0,210.0,344.0,80.0,9.73,0.0,0.075,0.193,4.693,0.409,2.0
18.0,2.52,22.0,211.0,339.0,79.0,9.93,0.0,0.08,0.197,4.593,0.399,1.0
20.0,2.42,22.0,209.0,351.0,81.0,9.56,0.0,0.07,0.19,4.65,0.413,2.0
16.0,2.45,22.0,193.0,325.0,71.0,8.68,0.0,0.066,0.191,4.663,0.373,7.0
15.0,2.46,21.0,192.0,333.0,71.0,8.63,0.0,0.066,0.188,4.649,0.357,7.0
17.0,2.42,22.0,192.0,307.0,70.0,8.78,0.0,0.066,0.194,4.773,0.408,8.0
17.0,2.87,25.0,228.0,380.0,75.0,10.54,0.0,0.07,0.217,5.19,0.412,2.0
16.0,2.88,24.0,227.0,391.0,75.0,10.5,0.0,0.07,0.213,5.18,0.393,1.0
19.0,2.81,25.0,226.0,356.0,74.0,10.6,0.0,0.07,0.22,5.31,0.454,2.0
8.0,2.93,23.0,227.0,293.0,71.0,7.82,0.0,0.111,0.23,3.632,0.321,0.0
8.0,3.02,23.0,234.0,293.0,73.0,7.83,0.0,0.11,0.229,3.612,0.32,0.0
7.0,2.8,23.0,217.0,293.0,68.0,7.81,0.0,0.112,0.232,3.66,0.324,0.0
8.0,2.93,23.0,227.0,293.0,71.0,7.83,0.0,0.111,0.23,3.635,0.322,0.0
8.0,3.02,23.0,234.0,293.0,73.0,7.83,0.0,0.11,0.229,3.613,0.32,0.0
7.0,2.8,23.0,217.0,293.0,68.0,7.83,0.0,0.112,0.232,3.668,0.324,0.0
5.0,2.59,25.0,225.0,356.0,59.0,5.24,0.0,0.078,0.267,5.187,0.596,0.0
5.0,2.58,25.0,227.0,361.0,60.0,5.26,0.0,0.081,0.223,5.035,0.586,0.0
5.0,2.6,24.0,223.0,348.0,58.0,5.19,0.0,0.072,0.354,5.49,0.615,0.0
5.0,2.79,26.0,232.0,361.0,60.0,7.09,0.0,0.075,0.294,5.273,0.576,0.0
5.0,2.57,24.0,223.0,342.0,59.0,6.85,0.0,0.068,0.268,5.165,0.567,0.0
5.0,3.23,28.0,249.0,401.0,62.0,7.58,0.0,0.087,0.344,5.49,0.593,0.0
6.0,2.88,23.0,203.0,322.0,77.0,9.05,0.0,0.073,0.292,3.833,0.387,0.0
6.0,2.78,23.0,199.0,317.0,78.0,8.77,0.0,0.07,0.247,3.72,0.376,0.0
6.0,3.1,24.0,211.0,333.0,76.0,9.61,0.0,0.079,0.382,4.06,0.41,0.0
13.0,3.26,23.0,202.0,310.0,73.0,9.85,0.0,0.089,0.243,3.591,0.413,7.0
12.0,3.27,23.0,204.0,313.0,73.0,9.66,0.0,0.089,0.24,3.575,0.395,7.0
16.0,3.31,23.0,198.0,301.0,73.0,10.19,0.0,0.089,0.246,3.681,0.456,7.0
14.0,3.31,23.0,205.0,314.0,73.0,10.05,0.0,0.09,0.247,3.617,0.418,2.0
12.0,3.32,23.0,207.0,318.0,73.0,9.85,0.0,0.09,0.243,3.6,0.399,1.0
16.0,3.37,23.0,202.0,306.0,74.0,10.4,0.0,0.09,0.25,3.71,0.461,2.0
20.0,1.74,23.0,210.0,339.0,56.0,4.9,0.0,0.075,0.133,7.363,0.579,0.0
18.0,1.8,22.0,201.0,326.0,53.0,4.79,0.0,0.069,0.121,7.471,0.549,0.0
22.0,1.68,24.0,220.0,351.0,58.0,5.01,0.0,0.081,0.146,7.256,0.609,0.0
18.0,1.74,23.0,217.0,350.0,57.0,5.09,0.0,0.076,0.141,7.981,0.599,0.0
15.0,1.84,23.0,211.0,338.0,56.0,5.11,0.0,0.074,0.142,8.208,0.579,0.0
20.0,1.71,24.0,226.0,365.0,59.0,5.09,0.0,0.08,0.148,8.171,0.618,0.0
37.0,2.41,20.0,194.0,308.0,92.0,5.82,0.0,0.043,0.177,5.034,0.332,3.0
35.0,2.25,19.0,185.0,275.0,81.0,6.14,0.0,0.051,0.176,4.537,0.336,3.0
30.0,2.37,20.0,189.0,289.0,78.0,6.19,0.0,0.049,0.176,4.818,0.351,3.0
32.0,2.5,20.0,199.0,322.0,87.0,5.95,0.0,0.043,0.177,5.282,0.344,3.0
24.0,2.48,20.0,194.0,304.0,75.0,6.25,0.0,0.047,0.176,5.098,0.366,3.0
26.0,2.59,21.0,205.0,335.0,83.0,6.07,0.0,0.043,0.177,5.53,0.356,3.0
18.0,2.6,21.0,198.0,318.0,72.0,6.31,0.0,0.046,0.176,5.378,0.382,3.0
20.0,2.68,22.0,211.0,349.0,79.0,6.2,0.0,0.043,0.177,5.778,0.367,3.0
13.0,2.71,22.0,202.0,333.0,68.0,6.37,0.0,0.044,0.176,5.659,0.397,3.0
15.0,2.77,23.0,216.0,363.0,75.0,6.33,0.0,0.043,0.177,6.027,0.379,3.0
9.0,2.78,22.0,205.0,342.0,66.0,6.41,0.0,0.043,0.176,5.827,0.406,3.0
11.0,2.82,24.0,220.0,371.0,72.0,6.4,0.0,0.043,0.177,6.175,0.386,3.0
7.0,2.83,22.0,206.0,347.0,65.0,6.43,0.0,0.042,0.176,5.939,0.412,3.0
9.0,2.85,24.0,222.0,376.0,71.0,6.45,0.0,0.043,0.177,6.275,0.391,3.0
5.0,2.88,23.0,208.0,353.0,64.0,6.45,0.0,0.041,0.176,6.051,0.418,3.0
7.0,2.89,24.0,224.0,382.0,69.0,6.5,0.0,0.043,0.177,6.374,0.396,3.0
13.0,3.2,18.0,254.0,346.0,56.0,4.16,0.0,0.061,0.391,5.556,0.681,6.0
14.0,3.24,18.0,252.0,347.0,56.0,4.42,0.0,0.059,0.388,5.438,0.691,6.0
13.0,3.03,14.0,258.0,349.0,54.0,3.68,0.0,0.063,0.397,5.732,0.665,8.0
13.0,3.22,18.0,255.0,350.0,56.0,4.19,0.0,0.069,0.395,5.586,0.686,2.0
14.0,3.25,18.0,253.0,350.0,56.0,4.46,0.0,0.065,0.392,5.47,0.696,1.0
13.0,3.04,14.0,259.0,352.0,54.0,3.7,0.0,0.074,0.4,5.76,0.669,2.0
13.0,3.04,13.7,259.0,352.0,54.0,3.7,0.0,0.0,0.4,5.76,0.67,0.0
13.0,3.24,18.0,257.0,350.0,57.0,4.21,0.0,0.062,0.395,5.61,0.687,7.0
14.0,3.32,19.0,258.0,356.0,58.0,4.54,0.0,0.061,0.398,5.579,0.708,7.0
13.0,3.02,14.0,257.0,348.0,54.0,3.66,0.0,0.071,0.394,5.691,0.661,7.0
15.0,3.59,20.0,285.0,390.0,59.0,4.68,0.0,0.071,0.441,6.235,0.765,2.0
17.0,4.12,23.0,321.0,443.0,71.0,5.65,0.0,0.071,0.5,7.071,0.868,1.0
13.0,3.11,14.0,265.0,359.0,55.0,3.78,0.0,0.076,0.408,5.87,0.682,2.0
14.0,3.41,19.0,265.0,366.0,59.0,4.66,0.0,0.064,0.41,5.813,0.712,7.0
14.0,3.37,19.0,262.0,361.0,59.0,4.61,0.0,0.061,0.401,5.622,0.714,7.0
14.0,3.23,15.0,274.0,371.0,57.0,3.91,0.0,0.067,0.425,6.133,0.712,6.0
14.0,3.47,20.0,275.0,376.0,61.0,4.52,0.0,0.071,0.424,5.996,0.736,2.0
14.0,3.38,19.0,268.0,367.0,59.0,4.41,0.0,0.067,0.415,5.871,0.721,1.0
14.0,3.25,15.0,277.0,375.0,58.0,3.95,0.0,0.076,0.43,6.187,0.719,2.0
14.0,2.48,20.0,216.0,265.0,52.0,4.16,0.0,0.058,0.2,6.644,0.65,0.0
14.0,2.47,20.0,212.0,259.0,54.0,4.1,0.0,0.056,0.191,6.734,0.642,7.0
14.0,2.51,21.0,223.0,282.0,50.0,4.31,0.0,0.062,0.214,6.51,0.663,8.0
13.0,2.59,23.0,229.0,299.0,54.0,4.71,0.0,0.062,0.221,7.32,0.719,2.0
13.0,2.58,22.0,226.0,293.0,56.0,4.66,0.0,0.06,0.212,7.46,0.714,1.0
13.0,2.61,24.0,236.0,315.0,51.0,4.83,0.0,0.066,0.235,7.11,0.728,2.0
22.0,1.63,23.0,213.0,340.0,57.0,4.85,0.0,0.078,0.14,6.978,0.585,0.0
7.0,3.16,26.0,226.0,361.0,89.0,9.99,0.0,0.074,0.26,3.916,0.396,7.0
7.0,3.23,26.0,231.0,368.0,91.0,10.21,0.0,0.074,0.263,3.961,0.4,7.0
6.0,3.19,24.0,217.0,342.0,78.0,9.88,0.0,0.08,0.385,4.093,0.413,8.0
17.0,2.02,25.0,232.0,371.0,62.0,5.61,0.0,0.067,0.129,7.44,0.525,2.0
17.0,2.04,25.0,233.0,374.0,62.0,5.65,0.0,0.067,0.129,7.423,0.524,1.0
21.0,1.82,26.0,240.0,389.0,63.0,5.41,0.0,0.081,0.15,8.287,0.627,2.0
6.0,2.54,18.0,157.0,177.0,33.0,5.93,0.0,0.039,0.133,2.132,0.18,12.0
5.0,2.7,19.0,165.0,181.0,33.0,6.38,0.0,0.037,0.142,2.232,0.191,13.0
6.0,2.2,22.0,195.0,338.0,49.0,4.56,0.0,0.066,0.137,3.889,0.281,11.0
5.0,2.38,23.0,209.0,361.0,52.0,4.99,0.0,0.067,0.148,4.177,0.305,12.0
4.0,1.88,24.0,221.0,372.0,43.0,3.92,0.0,0.041,0.111,3.962,0.335,7.0
4.0,1.89,24.0,222.0,374.0,43.0,3.95,0.0,0.041,0.112,3.983,0.337,7.0
18.0,2.21,22.0,204.0,363.0,58.0,4.9,0.0,0.026,0.117,5.053,0.266,9.0
7.0,2.44,23.0,168.0,298.0,63.0,8.06,0.0,0.083,0.348,6.338,0.483,7.0
7.0,2.48,23.0,165.0,293.0,63.0,7.95,0.0,0.088,0.35,6.224,0.462,7.0
7.0,2.34,24.0,173.0,307.0,61.0,8.33,0.0,0.078,0.346,6.509,0.515,8.0
7.0,2.47,24.0,171.0,303.0,63.0,8.24,0.0,0.085,0.353,6.471,0.492,2.0
7.0,2.51,23.0,168.0,298.0,64.0,8.14,0.0,0.09,0.355,6.365,0.471,2.0
7.0,2.36,24.0,176.0,312.0,62.0,8.49,0.0,0.08,0.35,6.63,0.524,2.0
8.0,5.09,24.0,185.0,280.0,70.0,7.01,0.0,0.122,0.831,5.096,0.45,8.0
8.0,4.95,24.0,182.0,282.0,70.0,6.97,0.0,0.126,0.827,4.836,0.437,8.0
8.0,5.33,26.0,193.0,280.0,69.0,7.2,0.0,0.117,0.837,5.485,0.47,8.0
7.0,5.21,25.0,188.0,284.0,71.0,7.17,0.0,0.125,0.853,5.198,0.458,2.0
7.0,5.06,24.0,185.0,286.0,71.0,7.12,0.0,0.13,0.848,4.927,0.445,2.0
8.0,5.46,26.0,197.0,284.0,70.0,7.38,0.0,0.12,0.86,5.605,0.479,3.0
5.0,0.45,34.0,258.0,391.0,52.0,0.9,0.0,0.107,0.213,12.133,1.157,10.0
21.0,1.42,20.0,154.0,210.0,87.0,2.25,0.0,0.061,0.195,6.718,0.27,105.0
24.0,1.39,22.0,165.0,237.0,96.0,2.65,0.0,0.068,0.217,7.069,0.34,0.0
14.0,1.07,27.0,214.0,245.0,71.0,1.02,0.0,0.066,0.119,12.71,0.56,28.0
15.0,1.04,29.0,228.0,256.0,74.0,1.0,0.0,0.07,0.114,13.712,0.6,6.0
11.0,1.14,22.0,200.0,256.0,128.0,2.56,0.0,0.098,0.222,5.598,0.407,6.0
15.0,1.36,22.0,168.0,220.0,87.0,2.49,0.0,0.066,0.207,6.359,0.31,60.0
15.0,1.33,23.0,179.0,240.0,93.0,2.8,0.0,0.073,0.227,6.548,0.36,22.0
11.0,1.11,22.0,195.0,247.0,123.0,2.36,0.0,0.093,0.203,5.403,0.383,12.0
12.0,1.09,23.0,202.0,264.0,98.0,2.07,0.0,0.09,0.187,6.034,0.413,20.0
12.0,1.08,24.0,205.0,269.0,99.0,2.11,0.0,0.091,0.189,6.053,0.425,7.0
15.0,1.14,25.0,200.0,227.0,75.0,1.23,0.0,0.06,0.118,11.134,0.52,33.0
15.0,1.06,27.0,216.0,247.0,77.0,1.23,0.0,0.065,0.116,12.421,0.6,9.0
9.0,1.08,22.0,216.0,253.0,102.0,1.73,0.0,0.088,0.19,5.789,0.414,16.0
18.0,0.84,19.0,147.0,212.0,98.0,1.64,0.0,0.065,0.153,6.32,0.558,12.0
16.0,1.16,21.0,166.0,210.0,92.0,2.14,0.0,0.047,0.129,7.312,0.59,18.0
11.0,2.7,16.0,156.0,204.0,59.0,1.86,0.0,0.174,0.269,4.825,0.18,63.0
12.0,2.7,20.0,203.0,252.0,65.0,2.6,0.0,0.26,0.47,5.1,0.25,23.0
6.0,4.56,30.0,272.0,397.0,53.0,3.19,0.0,0.35,0.599,9.814,0.916,0.0
7.0,6.89,34.0,323.0,324.0,110.0,4.32,0.0,0.43,0.645,10.569,0.987,3.0
8.0,5.01,29.0,269.0,375.0,65.0,4.56,0.0,0.318,0.545,8.925,0.833,0.0
6.0,7.27,33.0,307.0,312.0,118.0,5.09,0.0,0.41,0.621,10.164,0.949,3.0
4.0,4.2,28.0,210.0,372.0,54.0,1.68,0.0,0.26,0.73,0.0,0.0,0.0
22.0,10.0,29.0,292.0,403.0,59.0,2.27,3.0,0.05,0.31,2.2,0.47,0.0
24.0,3.05,0.0,250.0,459.0,82.0,6.4,9.0,0.03,0.11,4.89,0.0,0.0
5.0,3.52,28.0,257.0,382.0,41.0,3.79,0.0,0.165,0.365,6.475,0.657,0.0
16.0,1.12,27.0,134.0,396.0,60.0,3.01,0.0,0.31,0.14,4.21,0.418,0.0
15.0,2.12,33.0,220.0,313.0,56.0,2.54,0.0,0.03,0.25,6.29,0.46,0.0
22.0,6.17,27.0,233.0,310.0,60.0,5.26,3.0,0.25,0.9,5.79,0.32,0.0
7.0,4.47,24.0,226.0,335.0,54.0,2.75,0.0,0.18,0.6,6.71,0.0,0.0
