"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
16.0,0.37,18.0,38.0,261.0,8.0,0.32,17.9,0.045,0.094,0.451,0.163,10.0
37.0,1.03,25.0,38.0,211.0,6.0,0.24,12.2,0.082,0.104,0.734,0.141,35.0
77.0,0.31,13.0,29.0,238.0,9.0,0.23,27.0,0.04,0.05,0.4,0.232,16.0
33.0,0.3,12.0,35.0,320.0,69.0,0.24,5.9,0.066,0.058,0.983,0.138,835.0
47.0,0.73,21.0,66.0,316.0,33.0,0.41,89.2,0.071,0.117,0.639,0.175,31.0
99.0,2.71,79.0,49.0,558.0,79.0,0.53,28.1,0.078,0.189,0.724,0.195,469.0
40.0,0.47,12.0,26.0,170.0,18.0,0.18,36.6,0.061,0.04,0.234,0.124,5.0
51.0,1.8,81.0,46.0,379.0,213.0,0.36,30.0,0.04,0.09,0.4,0.099,306.0
417.0,1.8,55.0,7.0,127.0,14.0,0.15,4.0,0.029,0.039,0.162,0.055,2.0
215.0,2.32,55.0,50.0,611.0,20.0,0.9,43.3,0.027,0.158,0.658,0.192,146.0
5.0,0.07,4.0,11.0,90.0,0.0,0.05,4.0,0.019,0.028,0.091,0.037,2.0
10.0,2.57,51.0,174.0,922.0,22.0,0.28,1.1,0.17,0.073,1.65,0.26,0.0
44.0,1.28,60.0,90.0,370.0,94.0,0.49,11.7,0.072,0.066,1.046,0.116,1.0
24.0,2.14,14.0,52.0,202.0,2.0,0.54,5.6,0.143,0.141,0.978,0.091,38.0
84.0,2.04,85.0,99.0,608.0,11.0,0.3,88.0,0.181,0.362,1.11,0.803,87.0
19.0,0.43,17.0,31.0,296.0,5.0,0.8,84.0,0.04,0.04,0.4,0.043,24.0
13.0,0.5,3.0,59.0,533.0,4.0,1.1,4.0,0.15,0.07,0.6,0.24,1.0
29.0,2.5,79.0,221.0,280.0,9.0,2.13,0.0,0.191,0.114,4.604,0.26,1.0
66.0,4.98,127.0,381.0,1254.0,5.0,5.04,0.0,0.455,0.22,2.63,0.351,1.0
160.0,8.7,160.0,440.0,1500.0,9.0,2.2,0.0,0.9,0.193,1.955,0.286,0.0
123.0,5.02,171.0,352.0,1483.0,5.0,3.65,0.0,0.9,0.193,1.955,0.286,0.0
127.0,5.0,156.0,372.0,1332.0,6.0,3.63,0.0,0.747,0.213,1.455,0.309,0.0
186.0,3.4,188.0,304.0,1316.0,18.0,1.9,4.6,0.535,0.221,2.083,0.401,0.0
175.0,5.47,189.0,447.0,1387.0,14.0,2.31,5.3,0.653,0.237,1.955,0.447,0.0
143.0,8.2,140.0,407.0,1406.0,24.0,2.79,4.5,0.529,0.219,2.06,0.397,0.0
195.0,9.35,160.0,405.0,1490.0,11.0,2.55,4.5,0.529,0.219,2.06,0.397,0.0
17.0,0.81,21.0,37.0,187.0,6.0,0.4,38.7,0.37,0.25,2.92,0.085,0.0
83.0,6.69,138.0,406.0,1359.0,12.0,2.79,4.5,0.608,0.215,2.11,0.397,0.0
131.0,8.7,138.0,406.0,1346.0,13.0,2.66,4.5,0.39,0.24,2.106,0.396,0.0
147.0,5.49,175.0,407.0,1185.0,5.0,3.65,0.0,0.775,0.164,2.188,0.428,0.0
15.0,1.93,101.0,100.0,307.0,13.0,0.89,18.8,0.39,0.215,1.22,0.191,0.0
130.0,6.77,182.0,415.0,1464.0,8.0,2.55,0.0,0.772,0.192,1.892,0.527,0.0
113.0,5.07,176.0,411.0,1393.0,12.0,2.28,6.3,0.713,0.212,1.174,0.474,0.0
43.0,1.97,53.0,94.0,307.0,153.0,0.5,21.7,0.23,0.175,2.28,0.171,0.0
173.0,7.73,183.0,445.0,1542.0,12.0,2.81,0.0,0.743,0.207,1.342,0.439,0.0
37.0,1.04,25.0,38.0,209.0,6.0,0.24,16.3,0.084,0.105,0.752,0.074,0.0
240.0,10.44,190.0,301.0,1795.0,16.0,3.67,0.0,0.437,0.146,0.479,0.318,0.0
166.0,7.01,222.0,488.0,1042.0,12.0,2.83,0.0,0.69,0.33,2.43,0.442,0.0
117.0,2.57,70.0,41.0,762.0,226.0,0.38,30.0,0.1,0.22,0.4,0.106,316.0
16.0,0.8,23.0,40.0,325.0,78.0,0.35,4.9,0.031,0.04,0.334,0.067,2.0
93.0,3.3,52.0,53.0,470.0,80.0,0.2,35.0,0.06,0.15,0.9,0.084,210.0
103.0,6.7,192.0,421.0,1062.0,13.0,3.14,1.4,0.555,0.333,2.832,0.366,3.0
22.0,1.9,38.0,95.0,250.0,50.0,0.58,33.0,0.17,0.11,1.5,0.038,18.0
108.0,2.14,22.0,73.0,196.0,33.0,0.77,20.2,0.162,0.129,1.221,0.171,131.0
105.0,0.59,19.0,43.0,274.0,7.0,0.41,29.6,0.1,0.153,0.459,0.074,86.0
42.0,1.4,23.0,69.0,389.0,25.0,0.42,85.0,0.139,0.09,0.745,0.219,38.0
41.0,0.8,38.0,51.0,308.0,5.0,0.33,3.0,0.01,0.03,0.3,0.24,0.0
103.0,0.1,14.0,12.0,655.0,7.0,0.16,31.5,0.02,0.02,0.2,0.096,3.0
105.0,0.8,19.0,37.0,252.0,65.0,0.19,45.0,0.04,0.07,0.5,0.194,223.0
45.0,0.8,16.0,30.0,243.0,27.0,0.22,57.0,0.064,0.069,0.418,0.209,56.0
35.0,0.4,28.0,42.0,230.0,28.0,0.27,31.0,0.07,0.03,0.3,0.19,50.0
70.0,0.7,42.0,23.0,400.0,170.0,0.17,2.0,0.02,0.03,0.3,0.116,0.0
22.0,0.42,15.0,44.0,299.0,30.0,0.27,48.2,0.05,0.06,0.507,0.184,0.0
33.0,0.73,20.0,62.0,300.0,23.0,0.64,88.1,0.08,0.102,0.734,0.222,8.0
43.0,0.7,20.0,115.0,300.0,100.0,0.33,8.0,0.05,0.06,0.7,0.165,0.0
40.0,0.2,11.0,24.0,260.0,80.0,0.13,3.1,0.021,0.057,0.32,0.074,22.0
17.0,0.34,12.0,18.0,125.0,2.0,0.74,7.7,0.025,0.029,0.47,0.076,0.0
57.0,4.31,79.0,252.0,718.0,24.0,2.76,4.0,0.477,0.212,1.541,0.535,3.0
232.0,0.47,27.0,25.0,213.0,17.0,0.21,35.3,0.054,0.13,0.742,0.165,251.0
2.0,0.52,37.0,89.0,270.0,15.0,0.45,6.8,0.2,0.06,1.7,0.055,0.0
2.0,0.52,37.0,89.0,270.0,15.0,0.46,6.8,0.155,0.055,1.77,0.093,9.0
126.0,1.1,51.0,53.0,431.0,4.0,1.01,2.5,0.11,0.145,1.45,0.067,41.0
85.0,9.95,333.0,438.0,1375.0,58.0,6.11,1.5,0.68,0.17,2.795,0.361,2.0
110.0,8.27,184.0,424.0,1112.0,16.0,3.37,1.5,0.853,0.226,2.075,0.357,3.0
63.0,1.92,43.0,9.0,455.0,7.0,0.29,36.0,0.354,0.175,1.12,0.177,36.0
65.0,1.0,58.0,65.0,215.0,4.0,0.34,33.0,0.15,0.14,1.2,0.173,68.0
81.0,1.3,38.0,76.0,606.0,14.0,0.23,69.0,0.08,0.26,1.0,0.247,346.0
187.0,3.1,36.0,66.0,397.0,76.0,0.41,35.0,0.19,0.26,0.806,0.251,508.0
