Water,Protein,Total lipid (fat),"Carbohydrate, by difference","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Manganese, Mn","Selenium, Se","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total",Vitamin B-12,"Vitamin A, RAE",Cholesterol,"Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
94.79,1.21,0.32,3.11,16.0,0.37,18.0,38.0,261.0,8.0,0.32,0.053,0.177,0.2,17.9,0.045,0.094,0.451,0.204,0.163,24.0,0.0,10.0,0.0,0.084,0.011,0.091
90.32,1.83,0.22,6.97,37.0,1.03,25.0,38.0,211.0,6.0,0.24,0.069,0.216,0.6,12.2,0.082,0.104,0.734,0.225,0.141,33.0,0.0,35.0,0.0,0.05,0.01,0.113
94.39,1.2,0.2,3.23,77.0,0.31,13.0,29.0,238.0,9.0,0.23,0.036,0.19,0.6,27.0,0.04,0.05,0.4,0.105,0.232,79.0,0.0,16.0,0.0,0.043,0.023,0.072
88.29,0.93,0.24,9.58,33.0,0.3,12.0,35.0,320.0,69.0,0.24,0.045,0.143,0.1,5.9,0.066,0.058,0.983,0.273,0.138,19.0,0.0,835.0,0.0,0.032,0.012,0.102
89.3,2.82,0.37,6.64,47.0,0.73,21.0,66.0,316.0,33.0,0.41,0.049,0.21,2.5,89.2,0.071,0.117,0.639,0.573,0.175,63.0,0.0,31.0,0.0,0.114,0.031,0.112
91.4,2.86,0.39,3.63,99.0,2.71,79.0,49.0,558.0,79.0,0.53,0.13,0.897,1.0,28.1,0.078,0.189,0.724,0.065,0.195,194.0,0.0,469.0,0.0,0.063,0.01,0.165
92.18,1.28,0.1,5.8,40.0,0.47,12.0,26.0,170.0,18.0,0.18,0.019,0.16,0.3,36.6,0.061,0.04,0.234,0.212,0.124,43.0,0.0,5.0,0.0,0.034,0.017,0.017
92.66,1.8,0.2,3.74,51.0,1.8,81.0,46.0,379.0,213.0,0.36,0.179,0.366,0.9,30.0,0.04,0.09,0.4,0.172,0.099,14.0,0.0,306.0,0.0,0.03,0.04,0.07
81.83,0.52,0.15,16.23,417.0,1.8,55.0,7.0,127.0,14.0,0.15,0.138,0.094,0.4,4.0,0.029,0.039,0.162,0.041,0.055,7.0,0.0,2.0,0.0,0.0,0.0,0.0
91.69,2.46,0.33,4.02,215.0,2.32,55.0,50.0,611.0,20.0,0.9,0.162,0.885,0.9,43.3,0.027,0.158,0.658,0.064,0.192,85.0,0.0,146.0,0.0,0.091,0.076,0.147
86.67,0.27,0.13,12.76,5.0,0.07,4.0,11.0,90.0,0.0,0.05,0.031,0.038,0.0,4.0,0.019,0.028,0.091,0.071,0.037,0.0,0.0,2.0,0.0,0.021,0.005,0.037
72.48,5.33,0.29,20.23,10.0,2.57,51.0,174.0,922.0,22.0,0.28,0.171,0.36,0.7,1.1,0.17,0.073,1.65,0.599,0.26,14.0,0.0,0.0,0.0,0.0,0.0,0.0
84.94,3.27,0.15,10.51,44.0,1.28,60.0,90.0,370.0,94.0,0.49,0.231,0.256,0.2,11.7,0.072,0.066,1.046,0.338,0.116,68.0,0.0,1.0,0.0,0.036,0.005,0.064
93.22,2.2,0.12,3.88,24.0,2.14,14.0,52.0,202.0,2.0,0.54,0.189,0.158,2.3,5.6,0.143,0.141,0.978,0.274,0.091,52.0,0.0,38.0,0.0,0.04,0.0,0.05
89.25,5.3,0.69,3.29,84.0,2.04,85.0,99.0,608.0,11.0,0.3,0.201,0.536,0.9,88.0,0.181,0.362,1.11,0.063,0.803,128.0,0.0,87.0,0.0,0.0,0.0,0.0
94.03,1.0,0.17,3.7,19.0,0.43,17.0,31.0,296.0,5.0,0.8,0.034,0.089,0.2,84.0,0.04,0.04,0.4,0.212,0.043,72.0,0.0,24.0,0.0,0.0,0.0,0.0
91.0,2.6,0.3,5.2,13.0,0.5,3.0,59.0,533.0,4.0,1.1,0.19,0.262,0.8,4.0,0.15,0.07,0.6,0.161,0.24,7.0,0.0,1.0,0.0,0.069,0.007,0.134
10.09,9.91,1.16,77.72,29.0,2.5,79.0,221.0,280.0,9.0,2.13,0.42,1.322,37.7,0.0,0.191,0.114,4.604,0.282,0.26,23.0,0.0,1.0,0.0,0.244,0.149,0.56
13.44,19.87,0.53,62.9,66.0,4.98,127.0,381.0,1254.0,5.0,5.04,1.094,1.73,3.1,0.0,0.455,0.22,2.63,1.471,0.351,622.0,0.0,1.0,0.0,0.191,0.05,0.113
11.0,21.25,0.9,63.25,160.0,8.7,160.0,440.0,1500.0,9.0,2.2,1.0,1.0,3.2,0.0,0.9,0.193,1.955,0.899,0.286,444.0,0.0,0.0,0.0,0.232,0.078,0.387
11.02,21.6,1.42,62.36,123.0,5.02,171.0,352.0,1483.0,5.0,3.65,0.841,1.06,3.2,0.0,0.9,0.193,1.955,0.899,0.286,444.0,0.0,0.0,0.0,0.366,0.123,0.61
12.39,23.03,1.23,60.05,127.0,5.0,156.0,372.0,1332.0,6.0,3.63,0.794,0.92,12.7,0.0,0.747,0.213,1.455,0.748,0.309,604.0,0.0,0.0,0.0,0.316,0.106,0.527
10.77,18.81,2.02,64.11,186.0,3.4,188.0,304.0,1316.0,18.0,1.9,0.44,1.2,12.9,4.6,0.535,0.221,2.083,0.789,0.401,399.0,0.0,0.0,0.0,0.221,0.138,1.207
10.7,21.86,1.14,62.37,175.0,5.47,189.0,447.0,1387.0,14.0,2.31,0.837,1.423,12.9,5.3,0.653,0.237,1.955,1.098,0.447,482.0,0.0,0.0,0.0,0.356,0.053,0.477
11.75,23.58,0.83,60.01,143.0,8.2,140.0,407.0,1406.0,24.0,2.79,0.958,1.021,3.2,4.5,0.529,0.219,2.06,0.78,0.397,394.0,0.0,0.0,0.0,0.12,0.064,0.457
11.75,24.37,0.25,59.8,195.0,9.35,160.0,405.0,1490.0,11.0,2.55,1.1,1.0,3.2,4.5,0.529,0.219,2.06,0.78,0.397,394.0,0.0,0.0,0.0,0.036,0.019,0.138
