"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
18.0,0.37,19.0,37.0,264.0,3.0,0.33,12.9,0.035,0.024,0.51,0.08,56.0
44.0,0.65,18.0,29.0,146.0,1.0,0.25,9.7,0.074,0.097,0.614,0.056,32.0
32.0,0.3,10.0,39.0,225.0,9.0,0.18,15.8,0.044,0.044,0.5,0.177,48.0
30.0,0.34,10.0,30.0,235.0,58.0,0.2,3.6,0.066,0.044,0.645,0.153,852.0
40.0,0.67,21.0,67.0,293.0,41.0,0.45,64.9,0.063,0.123,0.553,0.2,77.0
136.0,3.57,87.0,56.0,466.0,70.0,0.76,9.8,0.095,0.236,0.49,0.242,524.0
48.0,0.17,15.0,33.0,196.0,8.0,0.2,37.5,0.061,0.038,0.248,0.112,4.0
58.0,2.26,86.0,33.0,549.0,179.0,0.33,18.0,0.034,0.086,0.36,0.085,306.0
460.0,3.55,39.0,9.0,59.0,13.0,0.25,0.3,0.012,0.099,0.162,0.087,6.0
209.0,2.26,55.0,72.0,641.0,21.0,0.88,41.1,0.02,0.134,0.559,0.177,139.0
5.0,0.19,3.0,8.0,88.0,1.0,0.04,0.2,0.016,0.012,0.095,0.044,2.0
7.0,1.21,49.0,197.0,881.0,18.0,0.22,0.3,0.144,0.06,1.16,0.206,0.0
21.0,0.61,42.0,73.0,286.0,60.0,0.4,7.4,0.05,0.089,1.11,0.081,1.0
23.0,0.91,14.0,54.0,224.0,14.0,0.6,7.7,0.162,0.139,1.084,0.079,50.0
42.0,1.02,94.0,77.0,602.0,13.0,0.3,55.6,0.147,0.282,0.995,0.76,121.0
9.0,0.38,16.0,36.0,319.0,6.0,0.77,33.0,0.051,0.053,0.28,0.041,6.0
12.0,0.24,3.0,20.0,533.0,4.0,0.47,0.0,0.02,0.05,0.3,0.098,0.0
11.0,1.33,22.0,54.0,93.0,3.0,0.82,0.0,0.083,0.062,2.063,0.115,0.0
28.0,2.0,52.0,168.0,532.0,8.0,1.77,0.0,0.115,0.064,0.717,0.096,0.0
55.0,2.85,49.0,152.0,433.0,3.0,0.76,0.0,0.225,0.056,0.527,0.077,0.0
27.0,2.1,70.0,140.0,355.0,1.0,1.12,0.0,0.244,0.059,0.505,0.069,0.0
50.0,2.09,50.0,135.0,387.0,1.0,1.14,0.0,0.21,0.069,0.515,0.081,0.0
63.0,1.08,56.0,102.0,370.0,6.0,0.64,1.2,0.13,0.062,0.546,0.105,0.0
68.0,2.13,50.0,165.0,391.0,2.0,0.88,1.3,0.158,0.059,0.681,0.117,0.0
35.0,2.22,42.0,138.0,405.0,1.0,1.0,1.2,0.16,0.058,0.578,0.12,0.0
66.0,2.98,48.0,137.0,419.0,4.0,0.86,1.2,0.129,0.062,0.54,0.104,0.0
19.0,0.89,23.0,38.0,194.0,7.0,0.44,35.6,0.362,0.273,3.024,0.093,0.0
28.0,2.94,45.0,142.0,403.0,2.0,1.07,1.2,0.16,0.058,0.578,0.12,0.0
44.0,2.77,42.0,142.0,378.0,5.0,0.9,1.2,0.095,0.067,0.552,0.104,0.0
69.0,2.36,53.0,144.0,389.0,0.0,1.03,0.9,0.237,0.066,0.649,0.138,0.0
16.0,2.11,111.0,103.0,317.0,14.0,0.97,17.3,0.381,0.235,1.263,0.198,0.0
52.0,2.3,65.0,165.0,508.0,2.0,0.96,0.0,0.257,0.063,0.57,0.175,0.0
46.0,2.09,50.0,147.0,436.0,1.0,0.98,0.8,0.193,0.062,0.318,0.229,0.0
15.0,0.66,18.0,30.0,98.0,51.0,0.17,6.1,0.067,0.059,0.725,0.054,0.0
73.0,2.84,68.0,169.0,463.0,2.0,1.09,0.0,0.236,0.059,0.272,0.127,0.0
46.0,1.28,25.0,39.0,299.0,3.0,0.36,9.7,0.074,0.097,0.614,0.056,4.0
90.0,3.7,63.0,113.0,561.0,6.0,1.38,0.0,0.118,0.046,0.14,0.093,0.0
62.0,2.48,74.0,183.0,325.0,5.0,1.06,1.8,0.187,0.103,0.708,0.129,0.0
114.0,1.9,68.0,41.0,909.0,241.0,0.5,24.9,0.117,0.289,0.499,0.132,383.0
16.0,0.79,23.0,38.0,305.0,77.0,0.35,3.6,0.027,0.04,0.331,0.067,2.0
102.0,3.64,57.0,55.0,491.0,88.0,0.22,32.5,0.059,0.165,0.94,0.088,219.0
36.0,1.5,43.0,125.0,268.0,5.0,1.01,0.3,0.097,0.089,0.711,0.072,1.0
18.0,1.5,31.0,73.0,193.0,41.0,0.47,19.8,0.128,0.09,1.2,0.029,14.0
118.0,1.27,27.0,82.0,343.0,56.0,0.54,37.0,0.169,0.14,2.015,0.22,227.0
100.0,0.56,18.0,41.0,261.0,7.0,0.39,28.2,0.095,0.146,0.437,0.07,82.0
36.0,1.2,20.0,56.0,317.0,21.0,0.33,62.0,0.107,0.08,0.607,0.178,39.0
49.0,0.77,39.0,93.0,360.0,4.0,0.38,2.6,0.039,0.058,0.32,0.279,0.0
59.0,0.1,8.0,7.0,354.0,4.0,0.09,18.9,0.01,0.01,0.1,0.052,1.0
93.0,1.04,11.0,29.0,371.0,34.0,0.17,26.0,0.032,0.063,0.428,0.166,212.0
42.0,0.66,17.0,33.0,262.0,28.0,0.25,34.4,0.071,0.06,0.382,0.225,2.0
30.0,0.38,24.0,33.0,184.0,24.0,0.23,17.0,0.051,0.02,0.024,0.152,44.0
