Nutrient,MSE,MAE,R2,RMSE,SPC
Water,24.1940818785899,3.8152589861294524,0.35524432165001096,4.918747999093865,0.7856300867692098
Protein,34.48696892948714,5.468404490976682,-1.814388644341573,5.872560679080902,0.6365851828071841
Total lipid (fat),1.3381432226490817,0.8160869120200153,0.9661764822384222,1.1567814065972368,0.9663993947865162
"Carbohydrate, by difference",16.102988516779398,0.8032940822749244,0.40916142850615034,4.012852914919683,0.05120348260039606
"Calcium, Ca",51.32734075152936,5.899830393463011,0.3260040361221612,7.164310207656377,0.7116734395902841
"Iron, Fe",0.4815570439540632,0.5965821188857198,0.6696857967041747,0.6939431129091658,0.9081570694658827
"Magnesium, Mg",61.903862234157906,3.4805020351641573,0.5636983638013979,7.867900751417618,0.6066755759489563
"Phosphorus, P",604.9847529392523,19.26812682364151,0.4536458069603442,24.596437809960456,0.8288663930537595
"Potassium, K",1634.028029542899,30.055184059297506,0.6749680989664677,40.423112566239865,0.7595856154393971
"Sodium, Na",85.58171043401585,7.229691949450535,0.6912763252670839,9.25103834355992,0.8417205914989215
"Zinc, Zn",4.881565135468576,1.925419677578003,-0.04563460932833796,2.2094264268059653,0.8158087328528
"Copper, Cu",0.0025792497297596434,0.028902962829419968,0.7494759187717666,0.050786314394329145,0.7043233090882483
"Manganese, Mn",0.009686024340905508,0.04788934505896771,0.7676574846129021,0.09841760178395687,0.5273654836579669
"Selenium, Se",20.93645445673383,3.5195692041142266,0.8174239729092866,4.575637054742632,0.8622326056791269
"Vitamin C, total ascorbic acid",6.013489053199611,1.0130885731293122,0.39383331697623314,2.4522416384197565,0.3144193477404581
Thiamin,0.0019467898155395994,0.023358763094131763,0.5654801350683111,0.044122441178379955,0.6696317236385367
Riboflavin,0.0054535475502124646,0.05540324490273047,0.7718883701228854,0.07384813843430628,0.8966163702332143
Niacin,1.5599571759428508,0.8614976469534129,0.5871135982033555,1.2489824562190017,0.8696960774512007
Pantothenic acid,0.07862834820044284,0.2132689467072487,0.6855572887285752,0.28040746816096546,0.8171270382357382
Vitamin B-6,0.01502761863555284,0.09378032415381327,0.6386084844284867,0.1225871878931597,0.8001288625035057
"Folate, total",108.26513465374991,8.124098156145227,0.01525440455596383,10.405053322965237,0.24380161969510125
Vitamin B-12,1.7518945414896387,0.9049688181226794,0.4259417601308627,1.323591531209549,0.8032405711430757
"Vitamin A, RAE",24.02106531308012,2.8173988688329934,0.7454969805796889,4.901128983517993,0.5233081685766872
Cholesterol,323.11292922552576,15.43751616890614,-0.04616197931876198,17.97534225614427,0.6383674117024405
"Fatty acids, total saturated",0.7609894126502015,0.6554841060718063,0.8779830527457293,0.8723470712108807,0.9507506191042036
"Fatty acids, total monounsaturated",0.9336950227529914,0.7525743892448634,0.8899931113748071,0.9662789570062009,0.9435108917292186
"Fatty acids, total polyunsaturated",0.43116313869634076,0.49552131219045353,0.4239747887872769,0.6566301384313248,0.8013409668776897
