Nutrient,MSE,MAE,R2,RMSE,SPC
Water,9.618168292682933,2.195853658536586,0.5549516696396715,3.101317186726139,0.7748714327992288
Protein,4.3192810975609754,1.365609756097561,0.6474193154470915,2.07828802083854,0.668191033286782
Total lipid (fat),6.00132743902439,1.8304878048780486,0.8090125908438753,2.44976069015412,0.8768608740705254
"Carbohydrate, by difference",24.84094054878049,0.5644512195121951,-0.012776549012896155,4.984068674163759,0.4482404449167908
"Calcium, Ca",9.146341463414634,1.6341463414634145,0.788735297350775,3.0242918945456694,0.8757809174118381
"Iron, Fe",0.057968597560975624,0.16286585365853654,0.9406867921287354,0.24076668698342724,0.9598811431880084
"Magnesium, Mg",3.692073170731707,1.3597560975609757,0.8966831054789105,1.921476820243145,0.7924785947321443
"Phosphorus, P",563.3841463414634,15.426829268292684,0.30061333496293596,23.735714574064616,0.7960795600103947
"Potassium, K",2535.057926829268,33.94512195121951,-0.18236295858736784,50.349358752910334,0.3219730871568816
"Sodium, Na",95.15243902439025,6.585365853658536,0.6735135747483758,9.754611167257783,0.7853592662928108
"Zinc, Zn",0.3385170731707317,0.3959756097560975,0.9345718526915009,0.5818222006513087,0.9393264874333703
"Copper, Cu",0.0022859085365853652,0.0185,0.6846331021585732,0.047811175854452326,0.9024804651999572
"Manganese, Mn",0.04200069512195122,0.02551219512195122,0.18645981084846863,0.20494071123608218,0.8770543738044809
"Selenium, Se",18.45435975609756,2.270121951219512,0.8206712862358754,4.295853786629331,0.9004437993533316
"Vitamin C, total ascorbic acid",5.987804878048781,0.3780487804878049,0.3659926933736458,2.446999157753999,0.584522597225006
Thiamin,0.0004182621951219512,0.011670731707317071,0.8674752400342726,0.02045145948635332,0.8403146322632816
Riboflavin,0.002353774390243902,0.025756097560975605,0.9065786429656871,0.048515712818054134,0.9188073990948428
Niacin,1.1487554756097562,0.5310609756097562,0.6911348528991137,1.0718001099131107,0.8255012320780752
Pantothenic acid,0.07383664024390243,0.15124390243902439,0.41235462162367087,0.27172898307670906,0.7851950135734332
Vitamin B-6,0.014463890243902437,0.05784146341463414,0.5697004804208808,0.12026591472192957,0.8764674144038131
"Folate, total",6.484756097560975,1.3231707317073171,0.9097168733073273,2.5465184267075265,0.8958968903894015
Vitamin B-12,1.497271951219512,0.4876829268292682,0.5659458467587489,1.2236306432986679,0.7877034535368852
"Vitamin A, RAE",33.5,2.3292682926829267,0.5447758780970858,5.787918451395113,0.8411548172449509
Cholesterol,187.70731707317074,8.536585365853659,0.46987182610419564,13.70063199539243,0.5398817603643695
"Fatty acids, total saturated",0.8323795457317075,0.6708109756097561,0.8475376273694599,0.9123483686244567,0.9049741885167022
"Fatty acids, total monounsaturated",0.8573784756097561,0.6520853658536585,0.8576542508422742,0.925947339544618,0.9136029977877799
"Fatty acids, total polyunsaturated",0.1045923567073171,0.17485975609756102,0.7765578343836271,0.3234074159745214,0.8939022459556669
