Nutrient,MSE,MAE,R2,RMSE,SPC
Water,10.082356851923821,1.9875352279326326,0.5334729080942237,3.1752727208735663,0.7938602697554364
Protein,3.8656984373939585,1.293595509581883,0.6844450336651817,1.9661379497364773,0.758561951458659
Total lipid (fat),2.963658415540936,1.248858177990708,0.9056839593975021,1.7215279305143254,0.9350704478432699
"Carbohydrate, by difference",5.8510009787405695,0.32077448606271797,0.7614520042877014,2.4188842425259978,0.3244864026996962
"Calcium, Ca",5.098571342445108,1.6051283391405342,0.8822318013266706,2.2580016258729994,0.923892270043324
"Iron, Fe",0.1030183553837445,0.19834637340301958,0.8945920828772072,0.3209647260739792,0.9504927864478908
"Magnesium, Mg",6.586879338449632,1.3830261324041817,0.8156764813794647,2.5664916400506024,0.8859467048425153
"Phosphorus, P",242.26520279600132,11.465853658536584,0.6992512953402692,15.564870792782102,0.8444166067589902
"Potassium, K",870.9076431250761,22.29247677119629,0.5938045727934693,29.511144388604723,0.7757046075046772
"Sodium, Na",54.88965267102897,4.837016260162602,0.811662983444135,7.408755136392953,0.8845786877135041
"Zinc, Zn",0.20037281940246088,0.3290922996515678,0.9612721975240776,0.4476302261939657,0.9715209335767406
"Copper, Cu",0.0006559921179542757,0.014781774680603956,0.9094984790788275,0.025612343078177672,0.947476712777598
"Manganese, Mn",0.04016924601435964,0.02783740185830429,0.2219344011876354,0.2004226684144277,0.9152011121204646
"Selenium, Se",9.336504540115667,1.8565177990708503,0.9092732897613183,3.0555694297652063,0.9357142701362782
"Vitamin C, total ascorbic acid",1.7889960487804872,0.2258292682926829,0.8105755632401109,1.337533569216297,0.3344823658112248
Thiamin,0.000454338518304719,0.01107750261324041,0.8560445964666694,0.02131521799805761,0.9056472797715032
Riboflavin,0.00188699168237193,0.026143584494773487,0.9251052588513464,0.04343951752001776,0.9481925377751784
Niacin,0.44643288650611296,0.4449369207317071,0.8799678764637064,0.6681563338816096,0.8940878123104823
Pantothenic acid,0.019089975547954267,0.08397994105691056,0.8480681695833409,0.13816647765631962,0.9458796137384291
Vitamin B-6,0.0064797675875564705,0.04549399680603949,0.8072274586648402,0.08049700359365229,0.8923933555402462
"Folate, total",7.524761978364718,1.408201800232288,0.8952375341795158,2.7431299601668013,0.8996272515912096
Vitamin B-12,1.170118030291808,0.47843288327526146,0.6607866791220149,1.0817199407849556,0.7727000616867481
"Vitamin A, RAE",45.065370247248495,2.8800017421602786,0.38761660898407735,6.713074574831453,0.8515881072645279
Cholesterol,149.79510816576098,8.55156649245064,0.5769445305135117,12.23908118143519,0.6691371885753512
"Fatty acids, total saturated",0.4780027142985589,0.5252295522648084,0.912446877966309,0.6913774036650019,0.9358010854751522
"Fatty acids, total monounsaturated",0.6462277147173178,0.5903987259001154,0.8927104297638202,0.8038828986346941,0.9214887055333071
"Fatty acids, total polyunsaturated",0.07110235640727526,0.14772344308943092,0.8481030067949762,0.26665025109171614,0.910651312638774
