Nutrient,MSE,MAE,R2,RMSE,SPC
Water,111.20170149932385,7.294400134140186,0.20177381754890855,10.545221737797828,0.6909250109681087
Protein,6.508456473243258,1.713201526671313,0.43970285901339967,2.551167668586927,0.8639021526832452
Total lipid (fat),0.25793599669748424,0.3053802022237456,0.8467273901415799,0.5078739968707634,0.49701181483896595
"Carbohydrate, by difference",64.9659427476126,6.013455088218946,0.2752175565027115,8.060145330427522,0.7613832887141437
"Calcium, Ca",464.43980214203543,15.456471448533991,0.828929554653938,21.550865461554796,0.8389778423390314
"Iron, Fe",0.3681438374876314,0.38896210682526056,0.6731028343684469,0.6067485784801077,0.8999671777750943
"Magnesium, Mg",346.3120495203786,14.195048857271,0.3473838032145934,18.60946129043983,0.7456068971476014
"Phosphorus, P",1511.5421074295866,27.476400321789,0.43959652883505795,38.878555881482875,0.850638068767805
"Potassium, K",16023.647805491028,98.40592665082953,0.45032596750583676,126.58454805184962,0.7403896436254295
"Sodium, Na",1677.3746659354283,32.090041803510005,-0.47335458255491725,40.955764746069974,0.08737052338551794
"Zinc, Zn",0.20121171031173382,0.29472602234127815,0.016377761796299795,0.4485662830750143,0.7729164943423882
"Copper, Cu",0.013739464091615083,0.06693537117557578,0.40470548478057666,0.11721546012201242,0.7999097780868566
"Manganese, Mn",0.08685351844517256,0.1490364388297783,0.28228458506959464,0.29470920997683897,0.7972356900185454
"Selenium, Se",25.572724085852165,1.835336013456409,0.1203065992796023,5.056948099976127,0.35789611061692406
"Vitamin C, total ascorbic acid",241.9713657371521,12.252275985010554,0.5521892319881057,15.55542881881281,0.6879244572995299
Thiamin,0.004099610925387588,0.04421824419582157,0.3290035255914775,0.06402820413995373,0.8289173126399967
Riboflavin,0.0018619549544732798,0.030579742155634287,0.6838634591122419,0.0431503760641003,0.760438129330938
Niacin,0.23008939073342452,0.3188984307573083,0.5415651623001367,0.47967633955973327,0.6880775820367251
Pantothenic acid,0.06798192207977279,0.10630470528830303,0.4342518091232055,0.2607334310742924,0.8807484912275017
Vitamin B-6,0.005892612658042269,0.05428457305705949,0.4993812020381617,0.07676335491653728,0.603371570698533
"Folate, total",2961.721245608273,38.840937346554874,-0.29851478639759654,54.42169829772196,0.05318630550548845
Vitamin B-12,7.703405429180984e-05,0.002378695665785436,0.7628039867656266,0.008776904596257717,0.222960089681446
"Vitamin A, RAE",19327.24728908695,86.74333153949695,0.09695818567204639,139.0224704466402,0.43355604468514247
Cholesterol,12.202007629916649,0.38027825860536835,-0.008557709706254801,3.4931372188788474,0.18256554183789903
"Fatty acids, total saturated",0.011484367989517968,0.05473704065934995,0.8610691125535571,0.10716514353798985,0.6200211685657673
"Fatty acids, total monounsaturated",0.02970269091799972,0.07649996344686559,0.798885999457872,0.17234468636427328,0.40227080077435295
"Fatty acids, total polyunsaturated",0.088186208154606,0.1337936454011818,0.6940872123379667,0.2969616274110276,0.5687932023739983
