Nutrient,MSE,MAE,R2,RMSE,SPC
Water,37.35549874203398,3.822061016949148,0.732089435200989,6.1119144907331595,0.8771442769460426
Protein,3.490174129152541,0.9504203389830512,0.7232675008122513,1.8682007732448194,0.9542053906064684
Total lipid (fat),1.5588527411864403,0.39921186440677975,0.46424334417951785,1.248540244119684,0.8244928309980806
"Carbohydrate, by difference",9.594495294406798,2.262537288135595,0.8892385176017013,3.097498231542158,0.9121248433130063
"Calcium, Ca",452.35365254237286,12.648983050847457,0.7985565622121584,21.268607207393078,0.9228588791452785
"Iron, Fe",0.27715828711864393,0.3706847457627118,0.6426027035619264,0.5264582482197843,0.867434319609533
"Magnesium, Mg",251.04117627118646,10.147118644067797,0.5089639139967657,15.844278976059039,0.8156738369033305
"Phosphorus, P",808.1601050847459,19.315932203389828,0.6678888449962777,28.428156906221442,0.8344415487257334
"Potassium, K",12840.292544067795,81.79542372881355,0.613971310274164,113.3150146453143,0.8347653296157288
"Sodium, Na",408.73594067796625,8.964915254237287,0.7611292375428111,20.21721891551769,0.7087487628053635
"Zinc, Zn",0.05839595237288137,0.15852033898305087,0.6719025635417863,0.24165254472668268,0.8675952994939512
"Copper, Cu",0.013925024266101699,0.050861525423728855,0.31763335040199814,0.11800434003078743,0.8207923647238098
"Manganese, Mn",0.03566381012711864,0.11984186440677964,0.6330231997556794,0.1888486434346793,0.9024942656653934
"Selenium, Se",15.767158813559305,1.5553559322033892,0.7101883248287101,3.9707881854311124,0.6949912615874138
"Vitamin C, total ascorbic acid",182.7521085084746,5.348711864406779,0.7376966832513896,13.518583820373886,0.9454916095784446
Thiamin,0.0024530847016949156,0.03267457627118643,0.6377376863389004,0.04952862507373807,0.8872391555146112
Riboflavin,0.002613879784745761,0.03197745762711864,0.5977645273956775,0.051126116464540516,0.762162251002485
Niacin,0.19134773648474587,0.285086779661017,0.4532533978481186,0.43743312229956466,0.7104844031529712
Pantothenic acid,0.13151509163220337,0.15193203389830506,0.42348814533488965,0.36265009531530995,0.7833240816850615
Vitamin B-6,0.00432916811694915,0.04164661016949151,0.41021363826889146,0.06579641416482473,0.6966039327470217
"Folate, total",547.5052406779661,16.62271186440678,0.6894045693012316,23.398829899761356,0.7885706270840122
Vitamin B-12,0.00040249762711864426,0.003464406779661018,0.3729438596491226,0.02006234351013471,0.7009845293191767
"Vitamin A, RAE",5386.767308474577,31.25559322033898,0.7903746804889522,73.39459999533057,0.9061713295799813
Cholesterol,2.8110966101694923,0.2293220338983051,0.8450741379310346,1.6766325209089474,0.5873918962380072
"Fatty acids, total saturated",0.1399507194084745,0.08843711864406778,0.292198858511761,0.37409987892068947,0.798260660471601
"Fatty acids, total monounsaturated",0.182811538140678,0.09791881355932207,0.30978900364080886,0.4275646596021215,0.8024381554134137
"Fatty acids, total polyunsaturated",0.155245526120339,0.15716966101694918,0.5405254246767364,0.3940120887997461,0.8271105272393309
