Nutrient,MSE,MAE,R2,RMSE,SPC
"Calcium, Ca",897.5765002449873,20.665017633928574,0.5827577147478166,29.95958110930437,0.3903573611478762
"Iron, Fe",0.36973584197711856,0.38227273080357144,0.5400913858560998,0.6080590777030785,0.3937272616153761
"Magnesium, Mg",350.2839113333256,14.152411714285714,0.21877006163925727,18.715873245278342,0.3626701722495669
"Phosphorus, P",1575.5350120380147,29.20267357142857,-0.4648995914875438,39.693009611744166,0.1963815841440083
"Potassium, K",13987.307112320874,91.80368928571428,0.4408274406053717,118.26794625899646,0.613514720596166
"Sodium, Na",1724.0481055404016,34.062596116071425,-0.17739569350507423,41.52165827059899,-0.7103441435480276
"Zinc, Zn",0.05317320360825833,0.154206154375,0.33912449166495917,0.23059315603082917,0.3858160885742482
"Vitamin C, total ascorbic acid",1202.0637945995238,26.73505180357143,-1.174625943834636,34.670791663870666,-0.6614447485681649
Thiamin,0.00265900487067271,0.034059832455357146,0.49846355193207137,0.051565539565418206,0.38742676799672904
Riboflavin,0.0034023456499398703,0.04122294132142857,0.532742823027861,0.058329629262835796,0.3843838600228412
Niacin,0.15409621081455835,0.2412187516964286,0.5826365662638173,0.39255090219557304,0.48017568344127104
Vitamin B-6,0.004451036933717621,0.055151860000000004,0.7108139700851427,0.06671609201472775,0.5336286165491506
"Vitamin A, RAE",17456.47999480117,93.58792611607143,0.4259935329213884,132.12297300167435,-0.32537151600425673
