Nutrient,MSE,MAE,R2,RMSE,SPC
"Calcium, Ca",1022.8039473732125,22.13580125,-1.1796567871565529,31.981306217432905,0.01595980869437219
"Iron, Fe",3.4435192136909922,1.4543206249999998,-14.178464260463342,1.855672173011977,-0.9380388229890095
"Magnesium, Mg",350.35280454471376,17.40482775,-0.39582790655264444,18.717713656980486,0.5840508076226558
"Phosphorus, P",2115.7537177042504,44.730506000000005,-0.5664272584918795,45.99732294062613,0.41590701027776344
"Potassium, K",47571.40515243403,186.4726925,0.48514506759236775,218.1087003134768,0.5670298753082347
"Sodium, Na",618.0532936680812,21.40847375,-4.207400051969088,24.860677659067967,-0.7446089585310853
"Zinc, Zn",0.09230928208160673,0.27912854249999997,-0.945401097610258,0.3038244264071056,0.41572225690941234
"Vitamin C, total ascorbic acid",741.7103791070365,23.565853500000003,-8.040011933417063,27.23436026616077,-0.6259319561887027
Thiamin,0.0034151353836413064,0.051027376250000006,0.33352645982581486,0.058439159676036634,0.6526647270369295
Riboflavin,0.0055483483863161005,0.059804385,-2.499431337947713,0.07448723639870189,0.3466031894850711
Niacin,4.327331362247885,1.4237517124999999,-0.046589400386808366,2.0802238731078644,-0.16833691272556273
Vitamin B-6,0.011345931266603848,0.09428425499999998,-0.9223061148890417,0.10651728153968185,0.5338412186447183
"Vitamin A, RAE",10498.930635705541,90.31010961,-494.52474976781315,102.46428956326952,-18.51700753586086
