Nutrient,MSE,MAE,R2,RMSE,SPC
"Calcium, Ca",18.224031223439702,2.9322158828828826,0.5812477831289339,4.268961375257418,0.6743266579700526
"Iron, Fe",0.5912798719466209,0.659018331891892,0.07146900355312868,0.7689472491313177,0.7232029295188211
"Magnesium, Mg",23.049164006862554,4.142761243243243,-1.4063559948901334,4.80095448914719,0.7825494967579312
"Phosphorus, P",1423.7428352284821,32.096943873873876,-0.6901480896641339,37.732516947965216,0.8268363426128028
"Potassium, K",2637.8210356619734,42.02533702702703,-0.6759771764121594,51.35972191963244,0.8451844141570932
"Sodium, Na",112.32504718248222,8.118273630630632,0.08883904582191793,10.598351153952308,0.8356500449722399
"Zinc, Zn",3.3615224679581095,1.7049496873873877,0.23372060895677882,1.8334455181319431,0.7159789369572589
"Vitamin C, total ascorbic acid",0.06528486483725483,0.15792799794594595,0.0,0.25550903083307025,-inf
Thiamin,0.00048419358693413514,0.0184047883963964,0.04222768893672224,0.022004399263195876,0.6925754162095983
Riboflavin,0.007772577959653066,0.06399946837837837,0.7203703919017116,0.08816222524218105,0.6822312312676291
Niacin,1.3207479654741874,1.0114551072072073,0.37495359262295846,1.149237993400056,0.7922404259453812
Vitamin B-6,0.007007715494226745,0.06044300216216217,0.7150594856557569,0.08371209885211782,0.8330420811681776
"Vitamin A, RAE",8.382423477809816,2.205442723063063,0.24191606108358377,2.8952415232256214,0.15871254168051308
