Nutrient,MSE,MAE,R2,RMSE,SPC
"Calcium, Ca",13433.52286215197,107.54992385294118,-16.14570050981452,115.90307529203861,-1.361117171916904
"Iron, Fe",23.57868315132336,4.511733808823529,-26.23685420084416,4.855788623006911,-0.9262257984159958
"Magnesium, Mg",16515.419948842267,122.63515364705881,-52.86521571072338,128.51233383937227,-1.1879916627634741
"Phosphorus, P",77859.53180551807,256.63700470588236,-67.16459264896736,279.0332091445713,-0.877152574379783
"Potassium, K",1020998.3262713365,968.4139679411766,-147.44853411173554,1010.4446181119164,-1.6662877001012926
"Sodium, Na",1840.7517687703207,41.08086811764706,-107.91687795969139,42.90398313409048,-8.060468487944574
"Zinc, Zn",5.853598750636805,2.3269752252941176,-33.5178760461636,2.4194211602440787,-1.0974074311141937
"Vitamin C, total ascorbic acid",1.7764827690778338,0.769269869117647,-4.030778474446917,1.3328476166005752,-1.1275501861229844
Thiamin,0.2116049104127309,0.44340876558823533,-72.66660817386791,0.46000533737417754,-1.6891646270154808
Riboflavin,0.03260004263303774,0.16887490470588237,-7.003272457789837,0.18055481891391806,-1.3183020555412437
Niacin,2.0702693885247685,1.3717507735294119,-16.220115584908335,1.4388430729321278,-1.2016500665928156
Vitamin B-6,0.06962517265043354,0.2508498955882352,-25.233256288433967,0.2638658231951109,-1.4640038419757682
"Vitamin A, RAE",6.592578020144861,2.3658362617647057,-26.612391997418328,2.5676016085337037,-9.912306836268241
