Nutrient,MSE,MAE,R2,RMSE,SPC
"Calcium, Ca",32.603585024313965,4.248781657407408,0.3714618374384364,5.709954905628762,0.6160179764583398
"Iron, Fe",0.8104714155766731,0.5710158361111111,0.5196952547709571,0.9002618594479459,0.5906867019433435
"Magnesium, Mg",19.75323352716423,3.2910325092592587,0.661919712603311,4.444460993997386,0.8231386192513936
"Phosphorus, P",1560.223657585598,35.014504074074075,-1.1374304958261248,39.49966655030898,0.8099200647224805
"Potassium, K",3345.3259025453945,45.91025574074074,-0.5697220741606821,57.83879236762637,0.8197648572997966
"Sodium, Na",120.67595650433775,8.63890611111111,0.47887191325174794,10.9852608755704,0.850068472821736
"Zinc, Zn",2.5950367517958965,1.4602687604629632,-0.925258242544899,1.610911776540198,0.6158822072586463
"Vitamin C, total ascorbic acid",2.508663623235073,0.7116603725555555,0.8316644251413778,1.5838761388552682,-1.537961765524762
Thiamin,0.0013109357271898143,0.025498819324074072,0.5963134192094698,0.0362068464132105,0.655991958069259
Riboflavin,0.004544868929785074,0.053442822685185194,0.7209293425792855,0.0674156430643888,0.780722519848392
Niacin,1.1064826812310038,0.8038371324074076,0.5741194533169379,1.0518948052115304,0.8340462446274004
Vitamin B-6,0.01888716156862028,0.10075204216666665,0.2922204971526653,0.1374305699930706,0.48139407549784685
"Vitamin A, RAE",2.982065586161448,1.3271165775925926,0.7289453804667316,1.7268658274925264,-0.528700896468794
