Nutrient,MSE,MAE,R2,RMSE,SPC
"Calcium, Ca",2815.013195746054,47.47682459090909,-24.625202406309874,53.0566979348136,-3.967010019429358
"Iron, Fe",3.3613098434475175,1.4962332054545455,-11.261193175319244,1.8333875322603013,-0.9335822487884284
"Magnesium, Mg",6700.79595524587,74.01100427272728,-22.007187951101,81.85838964483646,-1.4468540382967423
"Phosphorus, P",44900.722124028456,194.00873718181813,-28.9308464009489,211.8979049543163,-1.5171457391981416
"Potassium, K",52527.10811229953,215.52535,-26.114611111309813,229.18793186444074,-2.181157413891291
"Sodium, Na",4209.483889793344,61.998622318181816,-2.607679685694366,64.88053552332428,-3.391913173886567
"Zinc, Zn",3.1214660393305396,1.5688995454545454,-18.46532554572323,1.7667671151938897,-1.2703783022351387
"Vitamin C, total ascorbic acid",45.95277183457818,3.7059937249999995,0.0,6.7788473824521365,-inf
Thiamin,0.07572655679428304,0.19188306031818184,-12.754596600735018,0.27518458676728796,-1.2556113669449833
Riboflavin,0.019176714265985825,0.11945374899999997,-7.6148121619031315,0.1384800139586425,-1.0149208380225758
Niacin,14.11314235612756,3.1775707,-18.942757874003945,3.756746245905832,-1.9106679841496144
Vitamin B-6,0.04875744502217449,0.19363157136363637,-28.977443675569546,0.22081088066980414,-1.7695777507044985
"Vitamin A, RAE",2273.656859345977,20.097960307136365,-283.42747994919944,47.682878052252434,-37.852715449983464
