Nutrient,MSE,MAE,R2,RMSE,SPC
"Calcium, Ca",3312.0264855060127,45.57045533333334,0.914750303526434,57.5502083880329,0.6933381435806417
"Iron, Fe",2.570091534863335,1.0424993033333332,-0.14141741000592223,1.6031505028734312,-0.0687670019156208
"Magnesium, Mg",522.5931127787499,21.61253533333333,-0.16940278841589995,22.860295553180187,0.22067174250522092
"Phosphorus, P",6960.288062579802,74.32580666666668,-103.05746272959836,83.4283408835379,-7.630518022434956
"Potassium, K",47746.800004497374,208.03544333333335,-23.49112048560791,218.51041166154388,-2.9253367364349203
"Sodium, Na",3055.1851835203584,55.04507133333333,-102.37092726196703,55.27372959662084,-8.754187575874266
"Zinc, Zn",0.0187610873866218,0.10977539333333332,-0.19076013032155292,0.13697111880473853,0.2246917803505366
"Vitamin C, total ascorbic acid",311.29337877534766,17.620335,-400.38114741807004,17.64350811985382,-22.013271460678897
Thiamin,0.00164510803908544,0.029206349666666662,0.4403548400450197,0.04055993144823398,0.1778392274006627
Riboflavin,0.0052556327620645995,0.06291704666666667,-3.211244200372275,0.07249574306167639,-0.42148515807208575
Niacin,0.04185757306324326,0.18477373333333333,0.4368532307711325,0.20459123408211619,0.368545573820629
Vitamin B-6,0.004875763840601399,0.0613202,0.7889239111603273,0.06982666998075591,0.5802003808772189
"Vitamin A, RAE",33603.57547201846,125.88452666666666,-4199.446934002308,183.31278043829477,-90.65639021914738
