Nutrient,MSE,MAE,R2,RMSE,SPC
"Calcium, Ca",962.32380255383,25.267947333333336,-359.87142595768626,31.02134430603919,-5.204268861207838
"Iron, Fe",0.059040155038394444,0.22506961666666672,-18.975992306223688,0.24298179980894546,-0.08797820809975598
"Magnesium, Mg",600.6833674765613,20.056472666666668,-3.9964420584926543,24.508842638455235,-0.9349086293517292
"Phosphorus, P",4351.495573318097,53.122308,-89.23838746512183,65.9658667290751,-3.602269771795937
"Potassium, K",58483.520168566676,180.19753333333335,-7.319661137373947,241.83366219070223,-0.2051511404852271
"Sodium, Na",2420.65865551943,48.677207,-1555.1377071196334,49.20018958824681,-20.085795537820058
"Zinc, Zn",0.019438032031279095,0.1263277833333333,-5.2928880676802805,0.13942034296069958,-0.19503151109171046
"Vitamin C, total ascorbic acid",6676.831870669489,56.120453,-0.4909211336383432,81.71188328921008,-0.5744100826437395
Thiamin,0.0004632299090900191,0.020273125133333333,-1.2756927848308797,0.02152277651907437,0.29817033089974876
Riboflavin,0.0004958078288460061,0.020010442,0.1907380377921556,0.022266742663578032,0.25777524454739886
Niacin,0.027457486188985126,0.13173378666666666,-0.27676246810057425,0.16570300597449983,0.45070826748784587
Vitamin B-6,0.003415088387808133,0.055328086666666665,0.3851857199097217,0.05843875758268765,0.5047562916721385
"Vitamin A, RAE",35645.421650336146,127.604346,-931.5837059680966,188.79995140448565,-34.399990888341065
