Nutrient,MSE,MAE,R2,RMSE,SPC
"Calcium, Ca",40.31212524129517,4.431031447368421,0.4706484047264552,6.349183037312373,0.5583643451939859
"Iron, Fe",0.4904176439585554,0.5608028864777327,0.6636080493885607,0.7002982535738294,0.7150304475646454
"Magnesium, Mg",26.833313250232102,3.120968372469635,0.8108774145396398,5.180088150816751,0.7895139136243379
"Phosphorus, P",851.656095228615,24.11656060728745,0.23087999094969514,29.183147452401617,0.8628908865626235
"Potassium, K",1639.3120736199378,30.744099028340077,0.6739170258756436,40.48841900617926,0.8757036031901579
"Sodium, Na",78.50955814044828,6.412019417004049,0.7167880944671676,8.860561953987359,0.8733179669695024
"Zinc, Zn",3.3720936233223315,1.554296204331984,0.2776952267169185,1.836326121178461,0.6335803595499618
"Vitamin C, total ascorbic acid",9.27036143311237,1.1289662018299593,0.06553679725229389,3.0447268240537393,-6.301432286808482
Thiamin,0.000954504364485505,0.018613306765182188,0.78695640165038,0.030895054045680274,0.6811349511414413
Riboflavin,0.006388482316319984,0.06151359619838057,0.7327818085018619,0.07992798206085265,0.7260917424797353
Niacin,0.8308350040073897,0.6885838056680161,0.7800962227799777,0.9115015106994556,0.8507369820381441
Vitamin B-6,0.016419572629221765,0.09723372324291497,0.6051340946680409,0.12813888024023687,0.6761554089269898
"Vitamin A, RAE",28.230631315366367,3.037758987368421,0.7008966581515426,5.31325054136979,-0.3350690576992248
