Nutrient,MSE,MAE,R2,RMSE,SPC
"Calcium, Ca",1670.466643258427,24.156460674157305,0.38470503328961747,40.871342567359186,0.10361027883317708
"Iron, Fe",3.6032115561797746,1.1085449438202248,-2.19950933560201,1.898212726798494,-0.4825882640198855
"Magnesium, Mg",2680.6846629213487,29.560674157303367,-4.051681660859317,51.77532870896474,-0.45638566848857853
"Phosphorus, P",14301.784662921347,69.6808988764045,-4.302379424006891,119.5900692487522,-0.6598075887935979
"Potassium, K",73978.09858146067,164.8941011235955,-1.5377392374779624,271.98915158781733,0.06041358932925489
"Sodium, Na",4062.238946629214,13.800280898876405,-2.5681463950759427,63.73569601588433,-2.45251183530962
"Zinc, Zn",1.067247828651685,0.5663314606741572,-4.217234604834983,1.033076874512098,-0.8143826705787214
"Vitamin C, total ascorbic acid",118.40096095505615,4.899382022471911,0.780878100608707,10.881220563661788,0.2502971703766991
Thiamin,0.02119536789325843,0.08427584269662922,-2.4691138717812375,0.14558629019677102,-0.37542379146676086
Riboflavin,0.005990637120786515,0.05086882022471911,-0.017134862757726355,0.07739920620256073,0.10949139008106723
Niacin,0.7337151054073033,0.5076334269662921,-0.4618690770276914,0.8565717164413633,-0.057407938904812106
Vitamin B-6,0.009748904971910109,0.06971629213483145,0.1717621076245499,0.09873654324468782,0.24192957653750713
"Vitamin A, RAE",2942.7093544943823,17.87084269662921,0.862505531451293,54.24674510506951,0.14116155575003353
