Nutrient,MSE,MAE,R2,RMSE,SPC
"Calcium, Ca",532.1394109395396,16.290219154494384,0.8039932719035604,23.0681471067691,0.4940697159924964
"Iron, Fe",0.3898826079683224,0.3906269120786517,0.6537996660662164,0.6244058039194722,0.5123113949202893
"Magnesium, Mg",409.89400660293444,15.714470146067418,0.2275652318629523,20.24583924175371,0.43050578618328683
"Phosphorus, P",2395.746042105139,37.211612303370785,0.11177836765097604,48.9463588237689,0.32066652080850966
"Potassium, K",13621.510076032428,88.86878561797754,0.5327287230073279,116.71122515007897,0.5968211214176247
"Sodium, Na",1865.2928845900676,37.687796005617976,-0.6384161959339212,43.18903662493605,-1.3395156784049354
"Zinc, Zn",0.1891327715020698,0.28873076561797756,0.07542558167060065,0.4348939773117924,0.23620002011347763
"Vitamin C, total ascorbic acid",417.3535587953431,16.57793644775281,0.227613494153436,20.42923294681773,-0.40754924115872093
Thiamin,0.0036646818327006284,0.04101016983820225,0.4001897657303649,0.060536615636328964,0.42808144030218376
Riboflavin,0.0020878102614850457,0.03317825808426966,0.6455160676631073,0.04569256243071782,0.4742889203886127
Niacin,0.1921813118822085,0.28200165376404496,0.6170939988113558,0.43838489011621795,0.4588291275473897
Vitamin B-6,0.003392481750232271,0.04897149319101124,0.7117848678563914,0.058245014810130065,0.5528117392942049
"Vitamin A, RAE",12319.731259056243,74.61291606179775,0.424375737434023,110.99428480357105,-0.7572696517865025
