loss,mse,val_loss,val_mse,lr
208706.859375,208706.84375,88036.25,88036.25,0.001
133930.4375,133930.4375,79692.3203125,79692.3203125,0.001
97668.8046875,97668.8046875,130626.4453125,130626.4453125,0.001
121459.0,121459.0,78202.65625,78202.65625,0.001
103491.015625,103491.015625,69844.0234375,69844.0234375,0.001
118971.53125,118971.53125,62526.65234375,62526.65234375,0.001
79492.5859375,79492.5859375,62405.66796875,62405.66796875,0.001
117070.4140625,117070.4140625,58731.02734375,58731.02734375,0.001
91633.59375,91633.59375,76421.5078125,76421.5078125,0.001
93112.765625,93112.765625,47282.359375,47282.359375,0.001
122587.90625,122587.90625,144841.578125,144841.578125,0.001
113685.8359375,113685.828125,52961.234375,52961.234375,0.001
111193.7109375,111193.7109375,42660.4296875,42660.4296875,0.001
80575.7421875,80575.7421875,71865.4765625,71865.4765625,0.001
96955.859375,96955.859375,49447.0703125,49447.0703125,0.001
72906.9140625,72906.9140625,40740.83203125,40740.83203125,0.001
63222.9453125,63222.9453125,32784.3671875,32784.3671875,0.001
58487.625,58487.625,42229.70703125,42229.70703125,0.001
63007.09765625,63007.09765625,35408.88671875,35408.88671875,0.001
97114.7109375,97114.7109375,28705.517578125,28705.517578125,0.001
72919.578125,72919.5703125,43652.7734375,43652.7734375,0.001
60106.63671875,60106.63671875,52400.84375,52400.84375,0.001
63879.73828125,63879.73828125,29537.1171875,29537.1171875,0.001
45960.5234375,45960.5234375,26065.845703125,26065.845703125,0.0005
50878.20703125,50878.20703125,25767.921875,25767.921875,0.0005
44962.8046875,44962.8046875,24004.61328125,24004.61328125,0.0005
57261.67578125,57261.67578125,40475.62109375,40475.62109375,0.0005
43380.078125,43380.078125,49908.37109375,49908.37109375,0.0005
49887.4765625,49887.4765625,22477.123046875,22477.123046875,0.0005
48924.59765625,48924.59765625,23449.216796875,23449.216796875,0.0005
39694.59765625,39694.59765625,20721.4765625,20721.4765625,0.0005
44320.15234375,44320.15234375,32951.8515625,32951.8515625,0.0005
48769.62109375,48769.62109375,20422.490234375,20422.490234375,0.0005
38419.40625,38419.40625,27688.259765625,27688.259765625,0.0005
37787.6171875,37787.6171875,24887.68359375,24887.68359375,0.0005
44494.76171875,44494.76171875,26944.8203125,26944.8203125,0.0005
32415.5859375,32415.5859375,21749.0,21749.0,0.00025
36315.15625,36315.15625,31810.37890625,31810.37890625,0.00025
36506.0703125,36506.0703125,27663.099609375,27663.099609375,0.00025
30801.5234375,30801.5234375,20759.974609375,20759.974609375,0.000125
31031.55859375,31031.55859375,21225.775390625,21225.775390625,0.000125
27985.2421875,27985.2421875,20938.814453125,20938.814453125,0.000125
30279.076171875,30279.076171875,21010.76171875,21010.76171875,6.25e-05
25975.0625,25975.060546875,20853.716796875,20853.716796875,6.25e-05
32260.58984375,32260.58984375,20129.25,20129.25,6.25e-05
37928.15234375,37928.15234375,20482.220703125,20482.220703125,6.25e-05
35658.4609375,35658.4609375,20154.537109375,20154.537109375,6.25e-05
33021.8359375,33021.8359375,20593.349609375,20593.349609375,6.25e-05
22457.111328125,22457.111328125,20883.802734375,20883.802734375,3.125e-05
25621.4453125,25621.4453125,21192.291015625,21192.291015625,3.125e-05
27462.55078125,27462.548828125,20689.984375,20689.984375,3.125e-05
22529.603515625,22529.603515625,20997.3828125,20997.3828125,1.5625e-05
26288.8203125,26288.8203125,21032.734375,21032.734375,1.5625e-05
38849.46875,38849.47265625,20117.103515625,20117.103515625,1.5625e-05
35622.52734375,35622.52734375,20354.033203125,20354.033203125,1.5625e-05
36202.453125,36202.453125,20279.265625,20279.265625,1.5625e-05
36456.765625,36456.765625,20901.576171875,20901.576171875,1.5625e-05
32470.5234375,32470.5234375,20826.603515625,20826.603515625,1e-05
33910.09375,33910.09375,21117.595703125,21117.595703125,1e-05
33299.3984375,33299.3984375,20690.2734375,20690.2734375,1e-05
35944.92578125,35944.92578125,21005.291015625,21005.291015625,1e-05
35136.8671875,35136.8671875,20617.84765625,20617.84765625,1e-05
35060.921875,35060.921875,20549.560546875,20549.560546875,1e-05
31413.11328125,31413.11328125,20659.701171875,20659.701171875,1e-05
33766.44140625,33766.44140625,20499.6953125,20499.6953125,1e-05
34729.953125,34729.953125,20413.2421875,20413.2421875,1e-05
27821.994140625,27821.994140625,20543.263671875,20543.263671875,1e-05
30306.33984375,30306.33984375,20460.853515625,20460.853515625,1e-05
27272.02734375,27272.02734375,20285.5859375,20285.5859375,1e-05
31185.228515625,31185.228515625,20442.642578125,20442.642578125,1e-05
38621.2109375,38621.2109375,20154.185546875,20154.185546875,1e-05
31887.876953125,31887.876953125,20619.154296875,20619.154296875,1e-05
24284.986328125,24284.986328125,20833.2421875,20833.2421875,1e-05
28656.46875,28656.46875,20851.201171875,20851.201171875,1e-05
23439.29296875,23439.29296875,21103.236328125,21103.236328125,1e-05
26418.447265625,26418.447265625,20913.91015625,20913.91015625,1e-05
29219.83984375,29219.83984375,21337.748046875,21337.748046875,1e-05
40640.60546875,40640.60546875,21378.498046875,21378.498046875,1e-05
33028.87890625,33028.87890625,21198.296875,21198.296875,1e-05
28804.1640625,28804.1640625,21109.42578125,21109.42578125,1e-05
33944.78125,33944.78515625,20812.447265625,20812.447265625,1e-05
31018.712890625,31018.712890625,20730.865234375,20730.865234375,1e-05
38411.0,38411.0,20986.5078125,20986.5078125,1e-05
39834.8046875,39834.8046875,20653.240234375,20653.240234375,1e-05
34542.1171875,34542.1171875,21153.50390625,21153.50390625,1e-05
21989.318359375,21989.318359375,20780.935546875,20780.935546875,1e-05
31334.2421875,31334.2421875,20872.08984375,20872.08984375,1e-05
28976.21875,28976.21875,20370.017578125,20370.017578125,1e-05
29415.2734375,29415.2734375,20434.947265625,20434.947265625,1e-05
29485.314453125,29485.314453125,20535.17578125,20535.17578125,1e-05
29524.462890625,29524.462890625,20400.5078125,20400.5078125,1e-05
29159.00390625,29159.00390625,20177.904296875,20177.904296875,1e-05
30303.16015625,30303.16015625,20082.84765625,20082.84765625,1e-05
23311.66015625,23311.66015625,20173.484375,20173.484375,1e-05
30304.16796875,30304.16796875,20083.98828125,20083.98828125,1e-05
35139.05859375,35139.05859375,20002.208984375,20002.208984375,1e-05
29521.353515625,29521.353515625,19889.912109375,19889.912109375,1e-05
34466.29296875,34466.29296875,19918.30859375,19918.30859375,1e-05
30968.126953125,30968.126953125,20118.2890625,20118.2890625,1e-05
